Expressao, Frequencia
"facil de chegar", 0.050888965170882816
"Localizacao", 0.2200560909321288
"facil", 0.2200560909321288
"chegar", 0.2200560909321288
"Pequeno almoco normal", 0.40991697689533735
"Pequeno", 0.4949246952252326
"normal", 0.4949246952252326
"Pequeno almoco", 0.5162806230574593
"almoco normal", 0.5162806230574593
"Instalacoes", 0.5880798524606783
"estadia", 0.5880798524606783
"almoco", 0.68796622281612
"nao", 0.7625957055371981
"acabadas", 0.7625957055371981
"otimas", 0.7625957055371981
"Instalacoes ainda nao", 0.8131286944405928
"nao acabadas", 1.3897843987848642
"acabadas mas otimas", 1.3897843987848642
"Camas pouco confortaveis", 0.02570861714399338
"Camas", 0.15831692877998726
"confortaveis", 0.15831692877998726
"Pequeno almoco", 0.04940384002065631
"Pequeno", 0.15831692877998726
"almoco", 0.29736558256021506
"Haver uma televisao", 0.04940384002065631
"Haver", 0.15831692877998726
"televisao", 0.29736558256021506
"optimo", 0.04491197687864554
"decoracao da habitacao", 0.04940384002065631
"toque pessoal", 0.09700399286574239
"pessoal na decoracao", 0.09700399286574239
"habitacao", 0.15831692877998726
"toque", 0.29736558256021506
"pessoal", 0.29736558256021506
"decoracao", 0.29736558256021506
"Simpatia dos anfitrioes", 0.014114963311119349
"Simpatia", 0.11797671014185607
"anfitrioes", 0.11797671014185607
"historia da familia", 0.26176225393615005
"simplicidade", 0.3171947781126727
"sala de refeicoes", 0.34393543650132563
"marcas da historia", 0.359016783205622
"familia", 0.4036310100959565
"refeicoes", 0.4533838267348932
"marcas", 0.5139785153975659
"historia", 0.5139785153975659
"vista", 0.5644591212760287
"sala", 0.5644591212760287
"merecia ser modernizada", 0.01552184797949213
"Apesar da casa", 0.02541909697430123
"casa de banho", 0.04188746641162499
"Apesar", 0.12363091320521931
"merecia", 0.12363091320521931
"modernizada", 0.12363091320521931
"pao e optimo", 0.18075564686791562
"pequeno almoco poderia", 0.1829003496708144
"casa", 0.2005079697193566
"banho", 0.2005079697193566
"funcionar", 0.2005079697193566
"oferta do pequeno", 0.2766850298235749
"pequeno almoco", 0.2766850298235749
"almoco poderia", 0.2766850298235749
"optimo", 0.32883716426354986
"diversificada", 0.32883716426354986
"pao", 0.46553351027698087
"oferta", 0.46553351027698087
"pequeno", 0.46553351027698087
"almoco", 0.46553351027698087
"peculiaridade da casa", 0.0065920978564317735
"conforto do colchao", 0.0065920978564317735
"simpatia do proprietario", 0.009239332327148086
"conhecer a historia", 0.009239332327148086
"casa", 0.06844581806138879
"colchao", 0.06844581806138879
"familia", 0.06844581806138879
"peculiaridade", 0.09568045026443411
"conforto", 0.09568045026443411
"simpatia", 0.09568045026443411
"proprietario", 0.09568045026443411
"conhecer", 0.09568045026443411
"historia", 0.09568045026443411
"excelente gosto musical", 0.0025258761156662004
"generosidade partilhou connosco", 0.0025258761156662004
"amabilidade e simpatia", 0.015380821171891606
"gosto musical", 0.015380821171891606
"partilhou connosco", 0.015380821171891606
"Sr.Antonio pela amabilidade", 0.02570861714399338
"excelente gosto", 0.02570861714399338
"generosidade partilhou", 0.02570861714399338
"simpatia", 0.09568045026443411
"musical", 0.09568045026443411
"connosco", 0.09568045026443411
"Sr.Antonio", 0.15831692877998726
"amabilidade", 0.15831692877998726
"excelente", 0.15831692877998726
"gosto", 0.15831692877998726
"generosidade", 0.15831692877998726
"partilhou", 0.15831692877998726
"Pessimos acessos", 0.07796891081290885
"Pessimos", 0.2005079697193566
"alojamento", 0.2005079697193566
"acessos", 0.36073110501666333
"iluminacao noturna", 0.4456055016437946
"Estrada", 0.46553351027698087
"cuidada", 0.46553351027698087
"noturna", 0.46553351027698087
"iluminacao", 0.6621399683957523
"Pequeno almoco simples", 0.08120583917302023
"Gostei", 0.12600111419447374
"resto", 0.12600111419447374
"Pequeno almoco", 0.15636909457609766
"alojamento extremamente simpatico", 0.17453124208001533
"alojamento", 0.19554775440341043
"almoco simples", 0.19655041497429673
"alojamento extremamente", 0.24200794508185502
"simpatico e prestavel", 0.2660576039256079
"excelente", 0.2787434420772574
"luz Alojamento isolado", 0.28034486697740446
"luz Alojamento", 0.2943134373072029
"Alojamento isolado", 0.2943134373072029
"extremamente simpatico", 0.3301845438888828
"mostrar cada cantinho", 0.3301845438888828
"Pequeno", 0.3336437268740625
"Super silencioso", 0.34245952032174354
"colchao excelente", 0.3919269406082023
"almoco", 0.4052952199237309
"simples", 0.4052952199237309
"Zona calma", 0.04940384002065631
"calma e tranquilidade", 0.04940384002065631
"Zona", 0.15831692877998726
"tranquilidade", 0.15831692877998726
"calma", 0.29736558256021506
"agua nao", 0.09700399286574239
"quente", 0.15831692877998726
"agua", 0.29736558256021506
"nao", 0.29736558256021506
"almoco era otimo", 0.01859446618045681
"pequeno almoco", 0.027581485432184485
"otimo", 0.11142476118001256
"pequeno", 0.16383273847958243
"almoco", 0.16383273847958243
"confortavel", 0.3033846052649951
"esperava", 0.3881970960906714
"cama", 0.4049347717850166
"decoracao", 0.49784754196738834
"acomodacoes nao havia", 0.016559150827736194
"nao havia", 0.04940384002065631
"rede telemovel", 0.04940384002065631
"acomodacoes nao", 0.09700399286574239
"havia", 0.15831692877998726
"telemovel", 0.15831692877998726
"acomodacoes", 0.29736558256021506
"nao", 0.29736558256021506
"rede", 0.29736558256021506
"Cama confortavel,os donos", 0.01655915082773619
"simpaticos,a area envolvente", 0.03339840940482845
"Cama confortavel,os", 0.04940384002065631
"situa o hotel", 0.04940384002065631
"confortavel,os donos", 0.09700399286574239
"donos do espaco", 0.09700399286574239
"espaco muito simpaticos,a", 0.09700399286574239
"simpaticos,a area", 0.09700399286574239
"area envolvente", 0.09700399286574239
"Cama", 0.15831692877998726
"hotel", 0.15831692877998726
"confortavel,os", 0.29736558256021506
"donos", 0.29736558256021506
"espaco", 0.29736558256021506
"simpaticos,a", 0.29736558256021506
"area", 0.29736558256021506
"envolvente", 0.29736558256021506
"situa", 0.29736558256021506
"Nao ter televisao", 0.04940384002065631
"casinha que ficamos", 0.04940384002065631
"Nao", 0.15831692877998726
"sala", 0.15831692877998726
"ficamos", 0.15831692877998726
"televisao", 0.29736558256021506
"casinha", 0.29736558256021506
"Ambiente familiar", 0.04104363943762454
"Ambiente", 0.1661018217684822
"hospitaleiros", 0.1661018217684822
"casa", 0.22526116654667594
"familiar", 0.23735726711911245
"Excelente compota", 0.26968942760135795
"compota de figo", 0.26968942760135795
"caseira", 0.2801259686367378
"Excelente", 0.4089101212804856
"figo", 0.4089101212804856
"ficamos surpreendidos", 0.4430324607558137
"ficamos", 0.5019655996955502
"valorizamos", 0.5019655996955502
"compota", 0.519443789161923
"Sentir", 0.5526078489296697
"partilhar", 0.5526078489296697
"futuramente", 0.5850574860456156
"entramos", 0.611625370566301
"surpreendidos", 0.611625370566301
"riqueza", 0.611625370566301
"Cama", 0.04491197687864554
"Sossego", 0.04491197687864554
"dou nota maxima", 0.016559150827736194
"nao dou nota", 0.03339840940482845
"fase de melhoramentos", 0.04940384002065631
"nota maxima", 0.04940384002065631
"concerteza vai ficar", 0.04940384002065631
"nao dou", 0.09700399286574239
"dou nota", 0.09700399286574239
"melhoramentos", 0.15831692877998726
"maxima", 0.15831692877998726
"ficar", 0.15831692877998726
"fase", 0.29736558256021506
"nao", 0.29736558256021506
"dou", 0.29736558256021506
"nota", 0.29736558256021506
"concerteza", 0.29736558256021506
"vista bonita", 0.009239332327148086
"produtos da terra", 0.015380821171891606
"anfitrioes a comida", 0.02570861714399338
"comida muito caseira", 0.02570861714399338
"caseira com produtos", 0.02570861714399338
"sossego", 0.04491197687864554
"envolvencia", 0.04491197687864554
"tranquilo", 0.09568045026443411
"vista", 0.09568045026443411
"bonita", 0.09568045026443411
"casa", 0.09568045026443411
"terra", 0.09568045026443411
"garrafeira", 0.09568045026443411
"anfitrioes", 0.15831692877998726
"comida", 0.15831692877998726
"caseira", 0.15831692877998726
"produtos", 0.15831692877998726
"voltarmos", 0.15831692877998726
"Falta-lhe o toque", 0.04940384002065631
"algum carinho", 0.04940384002065631
"toque de personalidade", 0.09700399286574239
"personalidade dos donos", 0.09700399286574239
"donos e algum", 0.09700399286574239
"Falta-lhe", 0.15831692877998726
"carinho", 0.15831692877998726
"toque", 0.29736558256021506
"personalidade", 0.29736558256021506
"donos", 0.29736558256021506
"algum", 0.29736558256021506
"tradicao e historia", 0.04940384002065631
"casa com tradicao", 0.09700399286574239
"historia", 0.15831692877998726
"casa", 0.29736558256021506
"tradicao", 0.29736558256021506
"condicionado nem televisao", 0.05059750906659205
"tinha ar condicionado", 0.08147576025641394
"televisao", 0.17546356713584482
"nao tinha", 0.21665440146091905
"tinha", 0.2744769100096153
"condicionado", 0.2744769100096153
"nao", 0.3243877708055772
"pandemia", 0.5184872830921132
"empreendimento", 0.5678321621038899
"limpos", 0.5688923825244586
"cuidados", 0.6568632964380267
"relacionados", 0.6568632964380267
"convenientemente limpos", 0.6635311104700484
"espacos", 0.701132735064015
"comuns", 0.701132735064015
"estavam", 0.701132735064015
"convenientemente", 0.701132735064015
"cuidados relacionados", 0.7589202459386564
"comuns nao", 0.8344509631832714
