Expressao, Frequencia
"catedral da cidade", 0.04940384002065631
"cidade", 0.15831692877998726
"catedral", 0.29736558256021506
"Igreja imponente", 0.026024163896581142
"catedral da cidade", 0.026024163896581142
"sofreu varias", 0.041798874333752976
"reabilitacao e melhoramento", 0.041798874333752976
"Igreja", 0.1592610586324978
"imponente", 0.1592610586324978
"catedral", 0.1592610586324978
"cidade", 0.1592610586324978
"sofreu", 0.1592610586324978
"melhoramento", 0.1592610586324978
"varias", 0.2519249053615113
"reabilitacao", 0.2519249053615113
"Situada frente", 0.2721426961874277
"zona historica", 0.2721426961874277
"nao", 0.34630614141566934
"Situada", 0.3968281465973205
"historica", 0.3968281465973205
"frente ao castelo", 0.40967008890895185
"horarios de culto", 0.4459603478208537
"Pena", 0.48941065817284485
"Pessimo", 0.04491197687864554
"igreja simples", 0.02570861714399338
"simples e restaurada", 0.02570861714399338
"restaurada nao", 0.02570861714399338
"turistico.Em frente", 0.02570861714399338
"frente ao castelo,parar", 0.02570861714399338
"curiosidade", 0.09568045026443411
"igreja", 0.15831692877998726
"simples", 0.15831692877998726
"restaurada", 0.15831692877998726
"nao", 0.15831692877998726
"turistico.Em", 0.15831692877998726
"frente", 0.15831692877998726
"castelo,parar", 0.15831692877998726
"Visita importante", 0.04940384002065631
"Visita", 0.15831692877998726
"importante", 0.29736558256021506
"Excelente", 0.23133275159292982
"interior", 0.23133275159292982
"Retabulo muito bonito", 0.5732105463588063
"Retabulo", 0.6036200563782421
"bonito", 0.6036200563782421
"Talha", 0.6511101154454433
"magnitude", 0.6511101154454433
"simples", 0.7016498766455139
"dourada", 0.8076562869538214
"Talha dourada", 1.109140327234087
"Beja", 0.08596317751626563
"Magnifica", 0.15831692877998726
"Igreja principal", 0.07796891081290885
"interior magnifico", 0.07796891081290885
"principal de interior", 0.1495930091794576
"Igreja", 0.2005079697193566
"magnifico", 0.2005079697193566
"Talha dourada", 0.2766850298235749
"reliquias sagradas", 0.2766850298235749
"altares profundamente decorados", 0.31623118328058825
"principal", 0.36073110501666333
"interior", 0.36073110501666333
"altares profundamente", 0.4456055016437946
"profundamente decorados", 0.4456055016437946
"Talha", 0.46553351027698087
"dourada", 0.46553351027698087
"altares", 0.46553351027698087
"decorados", 0.46553351027698087
"reliquias", 0.46553351027698087
"sagradas", 0.46553351027698087
"profundamente", 0.6621399683957523
"Lindissima", 0.04491197687864554
"bonita", 0.09568045026443411
"igreja", 0.15831692877998726
"cuidada", 0.15831692877998726
"provenientes de Lisboa", 0.013797198203993007
"Lisboa na sequencia", 0.013797198203993007
"nao decepciona", 0.015380821171891606
"varias obras provenientes", 0.02570861714399338
"sequencia do terramoto", 0.02570861714399338
"Lisboa", 0.08596317751626563
"nao", 0.09568045026443411
"visita", 0.09568045026443411
"varias", 0.15831692877998726
"provenientes", 0.15831692877998726
"sequencia", 0.15831692877998726
"terramoto", 0.15831692877998726
"decepciona", 0.15831692877998726
"Entrada gratuita", 0.02570861714399338
"Entrada", 0.15831692877998726
"gratuita", 0.15831692877998726
"Retabulo muito lindo", 0.02570861714399338
"Retabulo", 0.15831692877998726
"lindo", 0.15831692877998726
"altar divinal", 0.03465229800090378
"retabulo de altar", 0.0565406034156422
"divinal", 0.1447773057422032
"cuidada", 0.23133275159292982
"retabulo", 0.23133275159292982
"altar", 0.23133275159292982
"Vitrais e orgao", 0.23338172234549467
"orgao lindos", 0.23338172234549467
"Merece uma visita", 0.2704390918235917
"Vitrais", 0.3702539456099092
"lindos", 0.3702539456099092
"Merece", 0.4613789858464135
"visita", 0.4613789858464135
"nao perder", 0.500279879713408
"orgao", 0.5110573480904945
"perder", 0.5121371841744414
"nao", 0.6511101154454433
"Arquitectura simples", 0.02570861714399338
"Arquitectura", 0.15831692877998726
"simples", 0.15831692877998726
"Catedral de Beja", 0.007444681613352736
"decorado com paineis", 0.015380821171891606
"fachada simples", 0.02570861714399338
"paineis de azulejos", 0.02570861714399338
"Catedral", 0.08596317751626563
"Beja", 0.08596317751626563
"interior", 0.09568045026443411
"decorado", 0.09568045026443411
"bonito", 0.09568045026443411
"fachada", 0.15831692877998726
"simples", 0.15831692877998726
"paineis", 0.15831692877998726
"azulejos", 0.15831692877998726
"Arquitetura original", 0.02570861714399338
"Arquitetura", 0.15831692877998726
"original", 0.15831692877998726
"catedrais Portuguesas", 0.006617494767424653
"Portuguesas e possivel", 0.006617494767424653
"distinguir esta Catedral", 0.006617494767424653
"arquitetura original", 0.009856703331486505
"moderna e leve", 0.009856703331486505
"conhece as catedrais", 0.012571559314626916
"possivel distinguir", 0.012571559314626916
"provenientes de Lisboa", 0.04800518096836339
"Portuguesas", 0.05899937629682816
"Catedral", 0.05899937629682816
"original", 0.0875971992647228
"leve", 0.0875971992647228
"arte provenientes", 0.10137279574960871
"seguimento do terramoto", 0.10137279574960871
"conhece", 0.11142476118001256
"catedrais", 0.11142476118001256
"possivel", 0.11142476118001256
"distinguir", 0.11142476118001256
"arquitetura", 0.11142476118001256
"moderna", 0.11142476118001256
"Bonita", 0.04491197687864554
"conservado e preservado", 0.015099935621315529
"castelo de Beja", 0.06849720811532989
"Espaco", 0.10028582371075691
"preservado", 0.10028582371075691
"conservado", 0.14832923246533666
"entrada e gratuita", 0.165573765898185
"gratuita e fica", 0.165573765898185
"Beja", 0.17008796978057666
"entrada", 0.37689977775222827
"gratuita", 0.37689977775222827
"fica", 0.37689977775222827
"castelo", 0.37689977775222827
"Igreja agradavel", 0.02570861714399338
"Igreja", 0.15831692877998726
"agradavel", 0.15831692877998726
"Ice igreja", 0.01984585111858601
"igreja e vale", 0.04188746641162499
"vale a pena", 0.04188746641162499
"pena uma visita", 0.04188746641162499
"Ice", 0.09705179139403544
"cidade", 0.12363091320521931
"esculturas de ouro", 0.18075564686791562
"igreja", 0.2005079697193566
"vale", 0.2005079697193566
"pena", 0.2005079697193566
"visita", 0.2005079697193566
"muita esculturas", 0.2766850298235749
"ouro", 0.32883716426354986
"alter", 0.46553351027698087
"muita", 0.46553351027698087
"esculturas", 0.46553351027698087
"Bela Igreja", 0.013797198203993007
"Igreja", 0.08596317751626563
"Bela", 0.15831692877998726
"Castelo de Beja", 0.04332205697438394
"bonito", 0.11142476118001256
"igreja", 0.16383273847958243
"Beja", 0.17881754828257992
"Castelo", 0.23220979985467174
"elegante arquitectura", 0.23956129807083346
"visitar e apreciar", 0.3295258815075752
"apreciar este elegante", 0.3295258815075752
"arquitectura", 0.3881970960906714
"localizado", 0.4049347717850166
"visitar", 0.49784754196738834
"apreciar", 0.49784754196738834
"elegante", 0.49784754196738834
"Ouro pecas", 0.005157590407455398
"ceramica e Ouro", 0.007743432063478832
"Adoravel de ceramica", 0.00899321792126428
"Ouro", 0.06650965107397505
"Lisboa", 0.06650965107397505
"Adoravel", 0.0771485953923296
"pecas", 0.0771485953923296
"terremoto", 0.0771485953923296
"ceramica", 0.1155310835876123
"arte azulejos azuis", 0.008746283790117885
"azulejos azuis realmente", 0.008746283790117885
"azuis realmente nice", 0.011717137774106188
"alguma arte azulejos", 0.017234038615956782
"trazidas de Lisboa", 0.01772195208962934
"Lisboa apos", 0.01772195208962934
"Pequena capela", 0.027982444299640398
"aparentemente trazidas", 0.027982444299640398
"arte azulejos", 0.04111322028259195
"azulejos azuis", 0.04111322028259195
"azuis realmente", 0.04111322028259195
"apos o terramoto", 0.04111322028259195
"realmente nice", 0.05456877610825489
"alguma arte", 0.07890677080557255
"Lisboa", 0.08762754588136479
"Existem algumas estatuas", 0.09232657549492461
"nice", 0.13019597019737872
"Pequena", 0.13698032209793545
"adoravel", 0.13698032209793545
"aparentemente", 0.13698032209793545
