Expressao, Frequencia
"Pelourinho bonito", 0.02570861714399338
"Pelourinho", 0.15831692877998726
"bonito", 0.15831692877998726
"Praca da Republica", 0.00643573886924208
"Republica", 0.06588837669267192
"Praca", 0.09705179139403544
"pelourinho", 0.12363091320521931
"conservado", 0.12363091320521931
"Merece", 0.17881754828257995
"bonito", 0.2005079697193566
"duvida", 0.32883716426354986
"fotografia", 0.32883716426354986
"Praca", 0.04491197687864554
"Fica quase", 0.04496140729020599
"quase no centro", 0.0727077595331169
"Republica", 0.07610724681912917
"praca da Republica", 0.08680581280088762
"Fica", 0.16526845793182304
"quase", 0.2603452569832025
"centro", 0.2603452569832025
"Merecia uma melhor", 0.28885735322005285
"informacao do monumento", 0.28885735322005285
"praca", 0.28949709391790185
"centro da praca", 0.32600912599620446
"Merecia", 0.4074537787808157
"monumento", 0.4074537787808157
"melhor apresentacao", 0.4337992501472094
"apresentacao e informacao", 0.4337992501472094
"melhor", 0.5500475366013338
"apresentacao", 0.5500475366013338
"informacao", 0.5500475366013338
"vale", 0.6404223906996382
"passeio", 0.6404223906996382
"centro da praca", 0.04940384002065631
"praca", 0.15831692877998726
"centro", 0.29736558256021506
"atracao da cidade", 0.015900576579929524
"Situado na praca", 0.0665559385731257
"praca da republica", 0.09099022083343428
"Situado", 0.10667429890971625
"cidade", 0.10667429890971625
"Centrada a igreja", 0.12310461772745435
"voltas de carro", 0.12310461772745435
"sorte no casamento", 0.12310461772745435
"impossibilidade de transito", 0.12310461772745435
"praca", 0.13403340323499793
"republica", 0.14672424003683562
"atracao", 0.14672424003683562
"igreja da misericordia", 0.1625294240339263
"recem casados", 0.1625294240339263
"tempo marco", 0.17577705547691716
"tempo", 0.1999139900530325
"carro a praca", 0.22418657831116134
"Centrada", 0.2931501425883385
"boda", 0.2931501425883385
"deveriam", 0.2931501425883385
"Bonito", 0.04491197687864554
"Fica no centro", 0.10302256008155819
"centro da praca", 0.10302256008155819
"Fica", 0.23133275159292982
"praca", 0.23133275159292982
"centro", 0.4037484044059793
"simples", 0.5110573480904945
"bonito e simples", 0.5590489604659448
"Enquanto", 0.6036200563782421
"cidade", 0.6036200563782421
"passe", 0.6036200563782421
"Vale", 0.6511101154454433
"pena", 0.6511101154454433
"bonito", 0.7016498766455139
"Vale a pena", 0.7359434914074432
"passeia", 0.7740813452640246
"Enquanto passeia", 0.8770566391161699
"passeia pela cidade", 0.8770566391161699
"Nao", 0.15831692877998726
"original", 0.15831692877998726
"prac da republica", 0.048519231465280525
"implantado na prac", 0.07824789033045686
"republica", 0.17177521569455717
"implantado", 0.26938723336612563
"prac", 0.26938723336612563
"pelourinho", 0.29513563902538753
"manuelino", 0.29513563902538753
"original", 0.4187126706439023
"Vale a pena", 0.5001019392897985
"Vale", 0.5120663821591114
"representa", 0.5120663821591114
"pelourinho manuelino", 0.5347313896190005
"nao", 0.5615127884067688
"estilo manuelino", 0.6241507339783349
"pena", 0.6510457398118691
"demorar", 0.6510457398118691
"tempo", 0.6510457398118691
"apreciar", 0.6510457398118691
"beleza", 0.6510457398118691
"estilo", 0.6510457398118691
"passagem", 0.15831692877998726
"Camara Municipal", 0.005842023901156067
"pelourinho de Beja", 0.01143354430345338
"Beja fica", 0.01143354430345338
"junto a Camara", 0.01143354430345338
"fica na praca", 0.02249651976012989
"praca junto", 0.02249651976012989
"ver-se rapidamente", 0.02249651976012989
"Beja", 0.07621084492189614
"Camara", 0.07621084492189614
"Municipal", 0.07621084492189614
"foto bonita", 0.11755105063023073
"pelourinho", 0.14832923246533666
"fica", 0.14832923246533666
"praca", 0.14832923246533666
"junto", 0.14832923246533666
"ver-se", 0.14832923246533666
"rapidamente", 0.14832923246533666
"passa", 0.14832923246533666
"retratar o antigo", 0.165573765898185
"bonito", 0.2790829227183407
"conservado e central", 0.04940384002065631
"central", 0.15831692877998726
"conservado", 0.29736558256021506
"area encantadora", 0.06585282783328984
"encantadora", 0.20042771556506528
"agradavel", 0.2791288954946194
"centro", 0.308261587604532
"area", 0.308261587604532
"cidade", 0.31759662451688936
"marco historico", 0.394178637655664
"centro da cidade", 0.4331863306485218
"cidade na area", 0.4331863306485218
"historico", 0.4654089295675676
"marco", 0.6074911403880621
"redor", 0.6927726021297396
"cidade ao redor", 1.309873968426336
"Coluna na Praca", 0.013797198203993007
"aparentemente antigo", 0.04940384002065631
"Praca", 0.08596317751626563
"Coluna", 0.15831692877998726
"aparentemente", 0.15831692877998726
"pelourinho", 0.15831692877998726
"antigo", 0.29736558256021506
"tempo enquanto esperavamos", 0.008639588926072998
"cidade de Beja", 0.010956394502583098
"Beja para passar", 0.010956394502583098
"intervalo do meio-dia", 0.021838320572456164
"antiga da cidade", 0.026254532229877357
"enquanto esperavamos", 0.026254532229877357
"castelo reabriasse", 0.026254532229877357
"tempo enquanto", 0.05070100709722305
"Praca", 0.06600393699042442
"Beja", 0.06775800947985823
"tempo", 0.10056377885043351
"Subimos", 0.13361722656035402
"meio-dia", 0.13361722656035402
"Passei algum tempo", 0.1366830142243343
"loja amigavel", 0.14068054792043774
"passar o tempo", 0.1434434107989494
"Republica homenageia", 0.15199344485122304
"antiga", 0.15994644743997885
"cidade", 0.15994644743997885
"passar", 0.15994644743997885
"Praca da Republica", 0.012602360123953448
"Frustrado na Praca", 0.023458380875189744
"Republica", 0.08596317751626563
"Praca", 0.1447773057422032
"Frustrado", 0.15831692877998726
"Pax Julia", 0.00643573886924208
"Forum Romano", 0.00950861230958936
"Romano em Pax", 0.00950861230958936
"Bela pedra", 0.01552184797949213
"pillory no centro", 0.04188746641162499
"centro da praca", 0.04188746641162499
"Igreja de Miseric", 0.05650998118219104
"Julia", 0.06588837669267192
"Miseric rdia cujo", 0.09090931239201268
"Forum", 0.09705179139403544
"Romano", 0.09705179139403544
"Pax", 0.09705179139403544
"rdia cujo portico", 0.11501181900411048
"Bela", 0.12363091320521931
"pedra", 0.12363091320521931
"Miseric rdia", 0.14487691114143314
"cujo portico", 0.18075564686791562
"carne da cidade", 0.18075564686791562
"Igreja", 0.19677146788549632
"pillory", 0.2005079697193566
"Vale a pena", 0.04940384002065631
"Vale", 0.15831692877998726
"pena", 0.29736558256021506
"interessante em Beja", 0.009108237309423345
"cafe-bar nas proximidades", 0.015380821171891606
"mesas do cafe-bar", 0.02570861714399338
"atras", 0.04491197687864554
"Beja", 0.057012387690331526
"proximidades", 0.09568045026443411
"perturbar", 0.09568045026443411
"magia", 0.09568045026443411
"interessante", 0.15831692877998726
"mesas", 0.15831692877998726
