Expressao, Frequencia
"Chamada grosseira recebida", 0.07180963857319404
"ficar noutro sitio", 0.08214049056732269
"valia ficar noutro", 0.0867245412331673
"check-in a avisar", 0.11125946894098644
"avisar que poderiamos", 0.11125946894098644
"avisar", 0.12944114316890315
"Chamada grosseira", 0.1476004735731885
"questionar isto mesmo", 0.1476004735731885
"caso houvesse", 0.1476004735731885
"houvesse um imprevisto", 0.1476004735731885
"cancelar reserva", 0.15288267936520844
"noutro sitio", 0.16726422826600362
"possibilidade", 0.16863868925825853
"Cheiro insuportavel", 0.17113771806696326
"reserva", 0.17144467577345923
"eram quase nulas", 0.17197258009240537
"grosseira recebida", 0.1758728056509626
"valia ficar", 0.1758728056509626
"ficar noutro", 0.1758728056509626
"fizemos questao", 0.1758728056509626
"Hostel Beja", 0.010161768606794339
"Viemos passar", 0.014031464535847249
"Beja para ficar", 0.017138809941065477
"Beja e escolhemos", 0.01993235797006927
"escolhemos o Hostel", 0.025571566398255495
"Beja", 0.028020138508267796
"relacao qualidade preco", 0.06559513029582889
"funcionarios sao excelentes", 0.07777651307664012
"Hostel", 0.08975282034039922
"criancas", 0.09746023242213564
"super prestaveis", 0.11597413025500813
"Viemos", 0.11763208259413584
"passar", 0.11763208259413584
"ficar", 0.11763208259413584
"familia", 0.11763208259413584
"adultos", 0.11763208259413584
"espaco e limpo", 0.12820770589430958
"rececao e top", 0.12820770589430958
"escolhemos", 0.13890352270134984
"relacao qualidade", 0.14801798526238055
"bocadinho frio Casa", 0.0019689648029043894
"frio Casa", 0.011991299641625425
"Casa de banho", 0.011991299641625425
"caia no chao", 0.018718646087060413
"bocadinho frio", 0.025826961535478882
"banho com chuveiro", 0.025826961535478882
"agua caia", 0.025826961535478882
"Casa", 0.07467751768960432
"chao", 0.11580320378284417
"acolhedor", 0.15867174692409788
"bocadinho", 0.15867174692409788
"frio", 0.15867174692409788
"banho", 0.15867174692409788
"chuveiro", 0.15867174692409788
"agua", 0.15867174692409788
"caia", 0.15867174692409788
"Pequeno almoco fraquissimo", 0.16899370076791656
"produtos regionais", 0.2084090938056261
"produtos", 0.21635396232855256
"min", 0.2254756526896995
"agua para esquecer", 0.01911893411113409
"aquecimento seculo", 0.01911893411113409
"nao recomendo", 0.03107735477427921
"pequeno almoco", 0.03107735477427921
"almoco de mendigo", 0.03107735477427921
"tendimento gostei", 0.03107735477427921
"realcar o tendimento", 0.050888965170882816
"nao", 0.13696809108329627
"inimigo", 0.13696809108329627
"pequeno", 0.13696809108329627
"mendigo", 0.13696809108329627
"cama", 0.13696809108329627
"abrigo", 0.13696809108329627
"agua", 0.13696809108329627
"esquecer", 0.13696809108329627
"aquecimento", 0.13696809108329627
"seculo", 0.13696809108329627
"gostei", 0.13696809108329627
"anda a asae", 0.21339268578732606
"recomendo", 0.2200560909321288
"conhecer Beja", 0.016806575801141126
"Beja", 0.07145025265006083
"duvidas", 0.23133275159292982
"opcao", 0.23133275159292982
"conhecer", 0.23133275159292982
"Optima localizacao", 0.23338172234549467
"facil acesso", 0.23338172234549467
"Experiencia a repetir", 0.35553610271667324
"Optima", 0.3702539456099092
"acesso", 0.3702539456099092
"previsto", 0.4613789858464135
"localizacao", 0.5110573480904945
"facil", 0.5110573480904945
"Experiencia", 0.5121371841744414
"repetir", 0.5121371841744414
"funcionarios foram atenciosos", 0.5732105463588063
"resolver o check-in", 0.5732105463588063
"funcionarios", 0.6036200563782421
"atenciosos", 0.6036200563782421
"resolver", 0.6036200563782421
"ambiente acolhedor", 0.054946776158785814
"acolhedor", 0.18293819239194448
"ambiente", 0.28471299098081854
"servico", 0.30432229802290994
"Pequenos almocos abundantes", 0.3271538720233588
"Pequenos almocos", 0.3401817730135741
"abundantes e variados", 0.3401817730135741
"servico e ambiente", 0.3785006621939345
"Pequenos", 0.4374472505846275
"variados", 0.4374472505846275
"almocos abundantes", 0.5076137432577696
"Simpatia", 0.5311611533544228
"almocos", 0.5802586750255043
"abundantes", 0.5802586750255043
"Hostel", 0.5813108883317133
"tranquilidade", 0.5813108883317133
"acondicionado", 0.6131361151690521
"Recomendo", 0.6354214386436108
"duvida", 0.6354214386436108
"Hostel muito centrico", 0.7056202276474217
"apresenta uma decoracao", 0.03155899362794585
"decoracao acolhedora", 0.03155899362794585
"hostel apresenta", 0.07695314207021751
"beliche parecia nao", 0.12209296380004843
"hostel", 0.13617386270746712
"limpo", 0.13963990860580155
"arrumado", 0.13963990860580155
"chegamos", 0.13963990860580155
"Beja Hostel encontra-se", 0.1517024961144103
"Beja Hostel", 0.16888357738264279
"apresenta", 0.17490995898896625
"decoracao", 0.17490995898896625
"acolhedora", 0.17490995898896625
"Beja", 0.17683619261608147
"nao", 0.20909874765685385
"parecia nao", 0.21556192617877415
"beliche parecia", 0.21923783841502606
"deitados nela", 0.21923783841502606
"nela ela abanava", 0.21923783841502606
"preco", 0.262353058087957
"cidade de Beja", 0.011561263824295709
"ate bastante agradavel", 0.02335939204334099
"alem disso", 0.03118038131905048
"alem disso ouvia-se", 0.032917932649384904
"localizacao da cidade", 0.03447074540170908
"ficamos tinha", 0.03447074540170908
"varanda ate", 0.03447074540170908
"vista e alem", 0.04007308615907217
"Beja", 0.06261045944724858
"alem", 0.10553407440502104
"disso uma varanda", 0.11640712898373216
"agradavel", 0.12504522868882575
"disso ouvia-se", 0.13827491816011547
"disso", 0.13905502865190494
"hostel", 0.18254344008272147
"localizacao", 0.18254344008272147
"cidade", 0.18254344008272147
"ficamos", 0.18254344008272147
