Expressao, Frequencia
"Jorge were very", 0.002979306093112253
"were very welcoming", 0.007041223281571044
"Jorge were", 0.013785598968197161
"very welcoming", 0.032181631113848176
"were very", 0.04393123320781905
"Jorge", 0.06628706209526326
"Helena", 0.1029006751649003
"near to Beja", 0.10313327456575543
"The", 0.1516063331776832
"welcoming", 0.15198515639084728
"conveniently located near", 0.19521277508664453
"Beja", 0.19779442152868265
"were", 0.2051401891608873
"very", 0.2051401891608873
"farm", 0.2686052322108615
"conveniently located", 0.2876901057871748
"located near", 0.2876901057871748
"fantastic breakfast", 0.2922901240671927
"the town", 0.3031965337567791
"the region", 0.3031965337567791
