Expressao, Frequencia
"pessoal super simpatico", 0.004737258569048452
"localizacao e excelente", 0.01859446618045681
"pessoal super", 0.027581485432184485
"super simpatico", 0.027581485432184485
"comida era mto", 0.027581485432184485
"excelente", 0.11142476118001256
"localizacao", 0.16383273847958243
"pessoal", 0.16383273847958243
"super", 0.16383273847958243
"simpatico", 0.16383273847958243
"comida", 0.16383273847958243
"mto", 0.16383273847958243
"Aconselho", 0.26303348124903125
"voltar", 0.4049347717850166
"nao dao muita", 0.014324834009635256
"dao muita atencao", 0.014324834009635256
"estrelas porque acho", 0.03465229800090378
"pareceu a mim", 0.03465229800090378
"acho que nao", 0.0565406034156422
"nao dao", 0.0565406034156422
"dao muita", 0.0565406034156422
"muita atencao", 0.0565406034156422
"atencao ao motivo", 0.0565406034156422
"motivo de estarmos", 0.0565406034156422
"Dou", 0.06997357213356549
"estrelas", 0.1447773057422032
"mim", 0.1447773057422032
"acho", 0.23133275159292982
"nao", 0.23133275159292982
"dao", 0.23133275159292982
"muita", 0.23133275159292982
"atencao", 0.23133275159292982
"motivo", 0.23133275159292982
"estarmos", 0.23133275159292982
"privilegiada de Beja", 0.018253143951356368
"restaurante numa zona", 0.06320982685919768
"zona privilegiada", 0.06320982685919768
"Beja", 0.0735189185046965
"restaurante", 0.24382756938246325
"zona", 0.24382756938246325
"privilegiada", 0.24382756938246325
"calor", 0.3864795434492178
"precos normais", 0.421890725310034
"Aconselho a visita", 0.4620246439700256
"normais", 0.47856326803063454
"esplanada", 0.5282771639219086
"cheio", 0.5293539928077544
"Aconselho", 0.562153894771392
"visita", 0.562153894771392
"comida", 0.6200038627901097
"precos", 0.6200038627901097
"servico", 0.666615133919817
"demorado", 0.666615133919817
"Adorei a experiencia", 0.0222628772898439
"Parque da Cidade", 0.022543893493649526
"Cidade", 0.08729933416282619
"Parque", 0.12354785918930465
"Adorei", 0.12941376359029316
"jantar", 0.12941376359029316
"Comemos no exterior", 0.13113594835685632
"experiencia", 0.16828222093578163
"Localizado no Parque", 0.18407094855303394
"espelho de agua", 0.20528633978957453
"amigos Localizado", 0.2257216820842981
"agua do Parque", 0.2259672515910094
"pratos", 0.2635638232290103
"espetada de polvo", 0.27740922733598544
"Localizado", 0.3309290236960988
"Comemos", 0.34048930758060847
"exterior", 0.34048930758060847
"virados", 0.34048930758060847
"servico e competente", 0.34393214973723996
"bacalhau da casa", 0.34393214973723996
"Paramos para almocar", 0.019765638980433757
"encontramos um ambiente", 0.04242344267504827
"ambiente calmo", 0.04242344267504827
"normas da DGS", 0.10141915236198548
"Empregados super simpaticos", 0.12988452220493746
"Paramos", 0.13922115813581393
"almocar", 0.13922115813581393
"calmo e simpatico", 0.1396121106349305
"DGS", 0.19699135421753192
"encontramos", 0.20173482208108084
"ambiente", 0.20173482208108084
"calmo", 0.20173482208108084
"tempos de espaco", 0.20210867093701454
"cumprindo as normas", 0.20210867093701454
"super simpaticos", 0.20649871705983383
"amplo em tempos", 0.27958141366096106
"simpatico", 0.30500079122110946
"simpaticos", 0.30500079122110946
"Empregados super", 0.33790196951676427
"comida estava divinal", 0.33790196951676427
"Restaurante super limpo", 0.004116265956201597
"normas da DGS", 0.01006403913249465
"limpo e amplo", 0.02071096275598536
"Restaurante super", 0.02333093138963711
"funcionarios eram", 0.02852287671676934
"eram muito simpaticos", 0.02852287671676934
"super limpo", 0.0523128139577283
"DGS", 0.05983202792769765
"Restaurante", 0.07637345480286206
"estrelas", 0.08155831103715849
"pedido ate chegar", 0.10842656801068697
"Relativamente a refeicao", 0.11825120682770618
"amplo", 0.12184503132862928
"cumprindo", 0.12184503132862928
"super rapido", 0.13932873760410663
"super", 0.14926003627496248
"comida estava maravilhosa", 0.15368784946513245
"atendimento", 0.1665289272744402
"funcionarios", 0.1665289272744402
"eram", 0.1665289272744402
"Visitei o restaurante", 0.024925859587129947
"restaurante numa recente", 0.03420559437317446
"recente visita", 0.03420559437317446
"visita a Beja", 0.1102887381477011
"Beja", 0.13153697439970058
"Visitei", 0.13372498691511758
"almoco de casal", 0.1793233329315976
"restaurante", 0.18186332596817822
"recente", 0.18186332596817822
"visita", 0.18186332596817822
"visite Beja", 0.20643170709085307
"otimo almoco", 0.23428166344963974
"face ao Covid", 0.2766034299845883
