Expressao, Frequencia
"funcionarios simpaticos,Comida otima", 0.010371770576087768
"Servico cinco estrelas", 0.02043875264354135
"simpaticos,Comida otima", 0.02790932839274057
"funcionarios simpaticos,Comida", 0.06886438740163668
"funcionario Raphael", 0.06910024250358465
"sangria espetacular", 0.08354440688699935
"Servico", 0.14152518206383163
"estrelas", 0.14152518206383163
"otima", 0.14152518206383163
"espetacular", 0.14152518206383163
"super atencioso", 0.15282262894876858
"simpaticos,Comida", 0.19184958151282938
"Raphael", 0.19246418216232886
"atendeu foi excelente", 0.1969361310374275
"atento e preocupado", 0.1969361310374275
"voltarmos a Beja", 0.2674003721421364
"sangria", 0.2723999023330428
"funcionarios", 0.3358236092393988
"atencao do funcionario", 0.34168364870260626
"Adoramos", 0.3480562859189414
