0,1,2,3,4,5
1,Muito bom.,2,positive,setembro,2021
2,"Castelo bem conservado, com torre de menagem altiva e exuberante, pena fechar a horas proibitivas. Pode-se dar a volta por fora e tirar umas fotos.",2,positive,agosto,2021
3,"Bonito, mas podia ser melhor",2,positive,agosto,2021
4,Castelo bonito numa zona central de Beja. Nao se paga para entrar nem para andar pelas muralhas. A vista e bonita e tranquila. Existe um parque de terra gratuito ao lado do castelo.,2,positive,maio,2021
5,"No entanto, apesar de existirem pessoas dedicadas, nao se vende qualquer tipo de recordacoes.",2,negative,setembro,2020
6,Tambem nao e possivel subir a torre o que foi uma desilusao.,2,positive,agosto,2020
7,A rever.,2,positive,agosto,2020
8,Bem preservado,2,positive,agosto,2020
9,E central e tem uma torre bem alta!,2,positive,julho,2020
10,Serve de referencia para quem circula perto de Beja.,2,positive,janeiro,2020
11,"A partir do castelo, percorremos as ruas e parte antiga da cidade ate aos pontos de interesse e restauracao.",2,positive,fevereiro,2020
12,Vista magnifica sobre a cidade,2,positive,fevereiro,2020
13,E agradavel passear pelas muralhas e usufruir da vista de 360o que dali se tem sobre a cidade. Apesar de nao ser possivel visitar o interior da torre (ja tinha fechado) o percorrer as muralhas valeu sem duvida uma visita nao so por ser uma das principais atracoes da cidade mas pela sua vista.,2,positive,fevereiro,2020
14,Castelo simpatico para passeio e uma vista de 360o sobre Beja,2,negative,agosto,2019
15,"O Castelo, tem uns degraus ingremes mas largos o que facilitou a subida e descida (mas nao aconselhado a idosos), dando uma vista fantastica de 360o de Beja e da paisagem alentejana.",2,positive,agosto,2019
16,Torre muito bonita,2,positive,agosto,2019
17,"Bela e uma das capitais de distrito do Alentejo, dizem que o Alentejo e terra de castelos, logo o castelo de Beja tinha de ser imponente .... Correspondeu as expectativas, sobressai a torre a fazer lembrar a torre de belem.... Esta bem conservado e para passear nas muralhas nao se paga! A cidade de Beja e muito pacata e limpa aconselho depois da visita ao castelo uma refeicao regional na cidade!",2,positive,outubro,2019
18,Castelo de Beja,2,positive,maio,2019
19,"Romantico a luz do luar, majestoso durante o dia, encanta quem o visita assim como a cidade com os seus recantos e ainda o Museu/Convento da Conceicao, riquissimo! De gastronomia estamos falados, simplesmente do melhor que ha em Portugal! A cidade Pax Julia de onde Cesar queria oferecer a paz e a cidade dos amores proibidos como aquele entre a Soror Mariana Alcoforado com o seu tenente frances! Beja, princesa da planicie, vale bem a visita!",2,positive,agosto,2019
20,A principal atracao da cidade,2,positive,outubro,2018
21,Apesar de nao ser possivel visitar-lo  interior da corre o castelo vale sem duvida uma visita nao so por ser a principal atracao da cidade mas pela vista do topo das suas muralhas.,2,positive,agosto,2019
22,Reliquia,2,negative,agosto,2019
23,Que beleza.,2,positive,agosto,2019
24,"A Cidade e linda e muito calma gastronomia de eleicao, acessos muito bons e modernos.",2,positive,julho,2019
25,"Muitas herdades, adegas e hotel de expoente maximo :- Vila Gale Clube de Campo a cerca de 20 km., onde pode fazer passeios de balao.",2,positive,julho,2019
26,Castelo Beja e sua torre menagem,2,positive,julho,2019
27,5 estrelas e a maior torre menagem da peninsula i Erica do seu topo consevue-se vislumbrar todos os concelhos a volta do concelho de Beja.,2,positive,junho,2019
28,Paragem obrigatoria,2,positive,junho,2019
29,Paragem obrigatoria em Beja e o icone da cidade. O castelo permite uma interessante visita que termina com a magnifica vista na subida ao cimo da torre.,2,positive,junho,2019
30,"Poderia estar em melhor estado de conservacao e com alguma especie de guia Historico para os visitantes, o que nos deixa um pouco perdidos na sua visita.",2,positive,maio,2019
31,Castelo,2,positive,maio,2019
