sentiment,review
positive,Ambiente acolhedor .
positive,"Ficámos num quarto no pátio, um duplex. Ao entrar, ficamos num pequeno hall com uma salamandra e cadeirão à esquerda e escadas para o piso superior, onde fica a cama, à direita. À frente da porta fica a casa-de-banho. Apesar de ser tudo muito confortável, atendendo ao tamanho do quarto e às comodidades que oferece, cremos que o preço (100€/noite) poderá ser algo exagerado."
positive,"A guest house fica a menos de um minuto a pé do Castelo de Beja, encontrando-se no centro da cidade (a qual se percorre facilmente caminhando, apesar da inclinação). O alojamento é muito limpo e bem decorado. O pequeno-almoço é extraordinário, sendo servido à mesa e não estilo buffet. Além de imensa fruta, pão e queijo, é servido (sempre acabado de fazer) bacon e ovos mexidos. A Sara, bem como as funcionárias, são super simpáticas e prestáveis. Chegámos já a uma hora tardia, pelo que a Sara nos deu antecipadamente todas as indicações para entrarmos na guest house. Quando chegámos, tínhamos à nossa espera limonada e bolo caseiro, além da lareira acesa na sala."
positive,"Pequeno Almoço fantástico, muito bem apresentado, e as funcionárias extremamente simpáticas tal como a dona da casa a Sara, muito simpática e prestável."
positive,o pequeno almoço é top! Os quartos muito bons!
positive,tivemos uma receção espetacular com lanche. os quartos sao lindíssimos e de um conforto. o pequeno almoço feito na hora por marcação prévia. Tudo muito fresco e delicioso. recomendo muito e fica mesmo no centro.
positive,É um local excecional. Muito bem desenhado e decorado. Zona interior ajardinada encantadora. Um pequeno almoço que não dava para acreditar de bom que era. Basicamente um bom brunch.
positive,A mezzanine onde se encontra a cama era realmente pequena.
positive,Sítio incrível e muito acolhedor. Recomendo 100%.
positive,"Instalações muito bem conseguidas, de acordo com a arquitetura típica da região, mas com o toque de modernidade. Zona exterior muito agradável. O pequeno almoço é excelente, feito com produtos locais. Extrema simpatia e total disponibilidade de toda a equipa. Localização muito central, junto ao castelo e à Sé de Beja."
positive,"A localização é perfeita para quem quer conhecer a cidade de Beja. O pequeno almoço é excelente, com muitos produtos locais e biológicos."
negative,Um pequeno almoço de qualidade 5* e muito bem servido em termos de proporções
positive,"Adorei tudo. Muitas boas condições e comodidades. Muito sossegado, calmo. Ótimo para descansar. O quarto com o colchão no chão é maravilhosa, uma experiência diferente mas muito boa. Excelente pequeno almoço"
positive,Nada a apontar!
positive,"Adorámos a localização, a decoração, a simpatia, o pequeno almoço - tudo impecável!"
positive,Limpeza do quarto e espaços sociais. A beleza da piscina e de toda a casa. O pequeno almoço!!! Perfeito! A simpatia e hospitalidade da Sara!
positive,Nada a apontar
positive,Muito bom! Super relaxante! Um dos melhores alojamentos que já estive em Portugal. O pequeno almoço é exceptional!
positive,As cadeiras da piscina não muito confortáveis.
positive,"Pequeno almoço excecional, tudo com produtos sustentáveis e deliciosos; Sem dúvida um local para quem gosta de tranquilidade e muito calor. Camas do quarto extremamente confortáveis."
positive,"Os pombos acabam por sujar a piscina, apesar da equipa do Aljana limpar várias vezes ao longo do dia. O cloro não passa, por isso, despercebido."
positive,"Simpatia, bom gosto e profissionalismo. A equipa, em especial a anfitriã Sara Barbosa Alves, é incansável e muito amável. O espaço está muito bem decorado e espelha o sentido estético de quem idealizou o projeto. Há livros e boa música, vinho à disposição num honesty bar, e uma evidente atenção aos pormenores. O quarto e a zona exterior refletem o mesmo cuidado e conforto. O pequeno-almoço é maravilhoso, com produtos locais. Estivemos uma semana a saborear todo este ambiente, que ficará, com certeza, na nossa memória."
positive,"Gostamos bastante do alojamento, por transmitir, em todos os seus detalhes, calma e tranquilidade. O alojamento fica numa rua calma, o que proporciona momentos de descontração sem barulho dos carros. O pequeno almoço era recheado de coisas boas. É um sítio onde iremos voltar!!"
negative,Não houve nada que não tivéssemos gostado mas há sempre espaço para melhorias. Poderia ter uma pequena secretária e extração no WC.
positive,Da calma que a casa transmite. A decoração é impecável. O jardim é um sonho!
positive,"Localização excelente, ao lado da Sé de Beja. Espaços interiores e exteriores super bem decorados. Muito tranquilo à noite e com um pátio muito agradável para noites quentes de verão. O Aljana no inverno também deve ser muito agradável (há salamandras nas salas). O staff é todo 5estrelas e a Sara (dona do Aljana) é uma excelente anfitriã. E tem tudo pensado ao detalhe. Por exemplo no dia em que chegámos a Sara já não estava no Aljana para o check-in mas deixou tudo preparado e tínhamos uma limonada de morango deliciosa e bolo caseiro à nossa espera. Ah, e o pequeno-almoço...ai o pequeno-almoço...que maravilha! Tudo local, comida com sabor, queijos ótimos, frutas ótimas, mini panquecas, croissants, pão, doces caseiros...ovos mexidos excelentes e o melhor bacon que comi nos últimos 20 e tal anos. E incrivelmente bem servido (éramos um casal mas o pequeno-almoço dava tranquilamente para 3 pessoas)."
positive,Nada a apontar.
positive,"De tudo. Staff. Acomodações, melhor que muitos hotéis de 4 e 5 estrelas. Pequeno almoço simplesmente fantástico. Uma estadia a repetir."
positive,"Tudo na casa era perfeito, nada a apontar! Boa escapadela das grandes cidades para um bom descanso  a repetir de certeza"
positive,"Espaço, pequeno almoço."
positive,Local óptimo em pleno centro de Beja. Dos melhores pequenos almoços que já experimentamos. Staff simpático e atencioso A repetir
positive,O pouco espaço no andar de baixo da mezzanine (falta um espaço confortável para se estar). As escadas e o último degrau um pouco frágeis. Penso que os outros quartos devam ser melhores.
positive,"O pequeno-almoço servido é de excelente qualidade (pão muito bom, mini panquecas deliciosas, compotas excelentes, fruta variada, sumo de fruta acabado de fazer, queijo fresco muito bom e ovos mexidos fantásticos). Variedade de produtos e de qualidade acima da média. Boa piscina (pequena, mas num espaço confortável).  Pátios interiores e espaço interior muito agradáveis para dias e noites de calor. À chegada o cuidado em mimar os hóspedes com uma limonada fresca."
