sentiment,review
positive,Muito fraco
positive,"Tem tudo para ser um local de excelência, contudo encontra se muito degradado apesar de estarem a ser feitas supostas obras no local. Da maneira como estão, rapidamente se estragarão. Os mosaicos não  estão protegidos nem identificados (tiraram o caminho por causa das ditas obras) , sendo muito fácil alguém os pisar sem dar conta que o está a fazer. Chão bastante acidentado, tendo presenciado a queda de uma pessoa."
positive,São pagos 3 euros à entrada no qual não nos dão um bilhete bem como um comprovativo de pagamento para efeitos de faturação.
positive,As letras dos mapas estão sumidas o que não permite uma leitura do que estamos a ver.
positive,Garantidamente é um local que precisa de uma rápida ação de remodelação. Tem tudo para ser espetacular!
positive,Fechado
positive,Estivemos lá hoje e apesar de termos confirmado se estaria aberto chegámos lá e o portão estava fechado.
positive,Boa visita
positive,Visita muito interessante. O local merecia uma melhor sinalização e melhores acessos. Ficamos a saber que passará por um restauro em breve e voltaremos após a mesma
positive,Tesouro esquecido
positive,Estas ruínas romanas precisavam de uma grande intervenção urgente. Estão ao abandono e a sua preservação e documentação são inexistentes. Tem tudo para uma boa atracção turística. Mais património esquecido. Excelente para fotografar
positive,UM REGRESSO AO PASSADO LONGÍNQUO
positive,"19/10/2019.A D. Conceição ,Senhora  que informalmente dá explicações sobre as ruínas, é de uma disponibilidade total e conhecedora da história destas ruínas.Aguarda-se que a Universidade de Évora, proprietária da herdade onde se encontram as ruínas, contiunue o processo de recuperação"
positive,A visitar!
positive,Umas termas romanas com um hipocausto em excelentes condições!
negative,Alguns mosaicos limpos dão a ideia da cor original.
positive,"A D. Conceição, que nos recebe e guia com gosto, é uma excelente anfitriã."
positive,"É importante conhecer o nosso património, para o podermos valorizar."
positive,"Não é muito fácil descobrir o caminho, mas vale a pena!"
positive,Uma pérola a precisar de ser preservada
positive,"Estas ruínas de uma casa romana precisavam de uma grande intervenção de musealização. Estão a céu aberto, sem protecção alguma das intempéries. Deveriam ser construídos passadiços por cima das mesmas, a exemplo do que foi feito em Conímbriga. O acesso às ruínas é facultado pelos bons serviços de uma senhora que mora perto do local e que desse trabalho a única retribuição que tem é o obrigado dos visitantes. Assim vai o património deste país..."
positive,Merecia outro tipo de tratamento...
negative,"Lamentável que as entidades e instituições deste país não tenham sido capazes de, passados 50 anos das escavações, proporcionar condições dignas ao local, não só para a sua preservação (basta visitar a Casa del Mitreo em Mérida para se ver a diferença abissal) mas também para dar condições a quem pretende visitar o local."
positive,"Faltam acessibilidades, faltam funcionários, falta quase tudo."
negative,"Apesar do horário de funcionamento a entrada no espaço está dependente da presença da sra que vive nas imediações do local e que zela pelo espaço, mesmo não sendo funcionária da Universidade de Évora, proprietária da herdade."
positive,Pisões merecia mais. Quiçá se estivesse mais perto de Lisboa ou do Porto e o tratamento seria outro. Fica a provocação...
positive,Visita em Férias
