sentiment,review
positive,"Propriedade a apenas 20 min de Beja (cujo caminho está na sua maioria alcatroado e em ótimas condições) que proporciona uns excelentes dias de relaxamento no meio da Natureza! O serviço, descontraído e muito cuidado, é excecional, assim como todas as refeições que nos foram servidas.  A prova de vinhos foi ótima e permitiu-nos conhecer a história da propriedade e dos vinhos Riso.  Sem dúvida a repetir!"
positive,"Localizada a cerca 2h de caminhose lisboa, Apenas a cerca de 20 minutos de conducao á saida de Beja, e  conduzindo por 3.5Km de estrada de terra batida (vindo da salvada, ultima povoação antes da herdade, a meio caminho entre a herdade e beja) surge-nos no meio da noite sinais de gente.  As luzes amarelas a fazerem lembrar os montes de antigamente e o ambiente familiar visivel pela forma calorosa como nos recebem fazem-nos sentir em casa.  Nao ha muito a dizer, apenas uma coisa. É imperdivel uma estadia nesta herdade.  O pequeno almoco em conjunto com os outros hospedes, confecionado com produtos de origem local e provavelmente biológica, tornam ainda mais saborosa a refeicao. O alojamento nao deixa margem pra duvidas. É o local ideal para descansar. O unico contra a meu ver é"
positive,Paisagem bonita! Com muito potencial para turismo... Mas  Pequeno almoço muito decepcionante.... Apenas pão alentejano... Mauzinho... Limpeza dos quartos fraca e com problemas de canalização... A não repetir.
positive,"Uma beleza arrasadora! simplicidade  modernidade, unicidade! Uma envolvência perfeita, uns donos simpáticos. Ideal para momentos a dois, momentos em família, momentos com amigos..  Tudo conforme idealizamos! Obrigada Herdade do Vau"
positive,"A funcionária que nos serviu o pequeno-almoço era realmente simpática! Foi super compreensiva com os horários tardios que fizemos e zelou sempre pelo nosso conforto e bem-estar. O pequeno-almoço foi muito simpático com pão alentejano à fatia torrado, ovos, bolo caseiro e sumo de laranja natural maravilhoso! As instalações têm muito pinta na sua beleza despojada, valorizando algumas antiguidades com simplicidade e gosto. As áreas são muito generosas e a piscina é fantástica! Por fim, o estacionamento para o apartamento foi incrível pois é possível a entrada para o mesmo por uma porta superior permitindo a passagens de malas e etc. de uma forma eficaz e cómoda. O caminho até à Herdade não é fantástico e por ser um espaço bem rural e no meio da Natureza encontrámos alguns bichos"
negative,"Como é um local bem cotado, escolhemos para festejar o aniversario de minha esposa. Para chegar, tivemos que ligar, já que o GPS não acertava. Ao chegar no local, depois de um trajeto por estrada de terra, , nos deparamos com um local quase abandonado, apesar de ser 15,00 horas. Tudo fechado. Após alguns minutos apareceu uma funcionária  que informou estar sozinha e que não havia como ingressar nas dependências, pois estava tudo trancado e ela não tinha a chave. Teríamos que aguardar quase uma hora para a chegada de outra funcionária com a chave. Perguntamos se poderíamos comer alguma coisa, já que não havíamos almoçado, nada , só retornando a Beja a uns 20 km.Daí o desespero, como ficar num local sem a mínima estrutura. A funcionária simpática, ofereceu telefone para falarmos"
positive,"Fomos em família ficar neste hotel e foi muito agradável! Conforto, design e limpo! Deu bem para relaxar no meio do campo! Zona da piscina agradável :) Pequeno almoço foi muito bom ao estilo buffet! Recomendo vivamente"
positive,"O acesso é por terra batida durante vários kms o que deixa os carros completamente cobertos de pó. O espaço é interessante e as pessoas muito simpáticas, no entanto durante a noite e madrugada ouvem- se demasiados barulhos, o que não é espectavel num sítio como este.  O pequeno almoço foi muito bom, com bastante variedade e bem confeccionado."
positive,"Ao fim de alguns quilómetros em estrada de terra batida somos recompensados por uma paisagem  que nos faz sentir privilegiados por ali estarmos. Não poderíamos ter feito melhor escolha, tudo ao encontro dos nossos gostos, simpatia, disponibilidade, natureza, tranquilidade, fauna e flora para explorar e o Guadiana quase ao alcance das nossas mãos. Edifício muito bonito e bem recuperado, o quarto bem climatizado, limpeza irrepreensível. Pequeno almoço muito bom e variado, ambiente descontraído. Ao acabar a estadia, durante a viagem de regresso ficamos com a óptima sensação que realmente ainda existem paraísos na terra."
positive,"É um dos sítios que gostaria de voltar assim que for possível.  Ideal para quem quer paz e sossego! A estrada de acesso até chegar à Herdade é em terra batida, deve conduzir-se com cuidado mas vale muito a pena. Reservei apenas uma noite, no entanto 20 minutos depois de lá estar fiz reserva para outra noite.  A Herdade tem uma vista fantástica para as vinhas e para o monte alentejano, a piscina é o local certo para disfrutar desta paisagem. Adorei o quarto onde fiquei no antigo lagar de azeite, agora recuperado, é amplo e com a mobília necessária.  Na minha opinião o factor distintivo desta herdade é o ambiente familiar, os pequenos-almoços e os jantares são servidos numa mesa grande, o que torna a experiência bastante diferente.  Recomendo o jantar na herdade na companhia dos"
positive,"A Herdade é fantástica para quem gosta de relaxar e apreciar a magnífica planície alentejana salpicada de vinhas e de onde se vislumbra o Guadiana. Tudo foi pensado com extremo cuidado e com bom gosto, já para não falar do excelente anfitrião Miguel e restante equipa que foram extremamente simpáticos, fazendo-nos sentir em família. Recomendamos vivamente uma experiência a dois ou entre um grupo de amigos! A não perder a degustação de vinhos Riso cuja produção é da própria herdade."
positive,"A Herdade do Vau é um excelente local para descansar uns dias. Com o Alentejo de perder de vista pela frente, entre vinhas, montes e vales, e a uns passos do Guadiana, a Herdade do Vau é francamente recomendável. O proprietário, Miguel, é um anfitrião apaixonado pela sua obra e pelo seu vinho e contagia esse prazer aos seus hóspedes. Muito simpático, sabe o nome de todos os hóspedes, contribuindo para um ambiente mais descontraído e informal.  Bom pequeno almoço, e boa organização dos espaços. Éramos um grupo de 40 pessoas e bem sabemos como não é fácil acomodar tanta gente. A piscina é muito agradável e o espaço em redor excelente."
positive,"Fizemos a reserva para ficarmos em um lugar tranquilo para curtirmos o dia com piscina, chegamos e a piscina estava imunda. Desistimos de ficar lá, maior sol, e um calor de 40 graus, e uma pousada com piscina suja!! Oi?"
positive,"Quanto um conjunto tão grande de Excelentes se reunem num só lugar, como se pode descrever esse local a alguém? A única possibilidade é mesmo, descobrir cada um, por si próprio.  E que ninguém saia, sem o RISO do local, perfeitamente explicado pelo espectacular anfitrião.  É daqueles locais que cada vez que nos lembramos dele, mais uma memória de incontornável excelência, se nos aviva, transportando-nos de imediato, para o local .....  Obrigado por existires, Herdade do Vau!"
positive,"Depois de muita pesquisa para um grupo de 8, eis que vou dar à Herdade do Vau...e posso dizer que foi simplesmente maravilhoso, apenas um senão: o pouco tempo para usufruir, apenas uma noite. Mas deu perfeitamente para ver o ambiente fantástico, a paisagem de cortar a respiração, a piscina com uma vista deslumbrante sobre as vinhas e o melhor de tudo, uma hospitalidade incrivel dos proprietários, que nos fazem sentir como se estivessemos em casa: um drink a observar o pôr do sol, como se estivessemos com um grupo de amigos ou em familia. Recomendo vivamente"
positive,"Local Paradisíaco, ideal para relaxar, sonhar e ganhar energias. Atendimento pessoal e agradável. Pequeno almoço divinal. Piscina de sonho a ver-se a vinha. Vinho produzido na Quinta personalizado e fenomenal."
positive,"Situado num sitio maravilhoso! fomos recebidos incrívelmente bem! A comida tradicional é excelente e o vinho RISO muito bom! Fomos numa escapadinha romântica e foi espetacular!  Excelente sitio para aliviar o stress pois não tem TV, internet etc.  Obrigado Herdade do Vau"
positive,"Mesmo com um acesso complicado, vale a pena uma visita. O vinho branco Riso, que è uma produção da herdade, è muito bom! Os quartos fora da casa principal são amplos mas não têm janelas que abram. A piscina tem um enquadramento paisagístico fora de série, o que a torna muito agradável. Os anfitriões são de uma grande simpatia e disponibilidade."
positive,"Para quem quer descansar, gozar uma belíssima paisagem, comer e beber maravilhosamente e ainda voltar para casa com mais amigos para acrescentar aos que já tem, a Herdade do Vau é a escolha certa! O RISO é uma constante: no vinho, do mesmo nome, e no coração! Só quem experimenta pode perceber e sentir o que agora partilho, por isso vá, desfrute e não se esqueça nunca mais de que existe em Portugal, lá para terras do Alentejo, um lugar de excelência onde melhor é impossível estar!"
positive,"Local de eleição  para curtas temporadas. No meio de nada, mas com tudo. Aconselho as provas do vinho e os jantares. Otimo para passeios pedestres ou bicicleta. Piscina com vista fantastica. GO. GO, GO."
positive,"Quem pensa  que é preciso sair de Portugal para encontrar locais de elevada qualidade e beleza  engana-se claramente!!  A Herdade do Vau é o ponto de partida e de chegada para disfitar do melhor que a natureza tem. Um monte acolhedor, com muito bom gosto e de grande conforto. Obrigatório conhecer e partilhar. Já agora, entre tantas belezas ( quartos, acolhimento, a piscina, as vistas, o rio, a simpatia, a LUZ....)  o vinho propriedade da herdade de seu nome - RISO - é também um excelente motivo para fazer do VAU um local 6 estrelas. Parabéns!"
positive,"O que Vos vou confessar peço que não digam a ninguém. Descobri perto de Quintos - uma airosa e incolome aldeia Alentejana, uma daquelas Herdades que não de esquecem mais. Os motivos são tantos que vou só confessar-Vos alguns: 1) Os donos da Casa - São os melhores anfitriões do Mundo. Impossivel no fim da jornadas não acharmos que ganhamos dois grandes Amigos; 2) O espaço - um monte garboso a esticar--se ao guadina por entre duas elegantes palmeira- Um vinha que nos vem beijar os pés e que dá aquele aroma fresco, de terra agradecida; o Guadiana ali a namorar-nos, fazendo brincadeiras nas azenhas, como um jacuzzi natural ou uma descida nos seus rápidos mágicos; A fauna e a flora que aqui concentram uma das maiores diversidades do mundo; a paisagem alentejana aqui elevada ao seu"
positive,"Quem pretender conhecer a forma como se recebe bem em Portugal vá passar uns dias à Herdade do Vau. O local, esmaga-nos com a sua beleza, o nascer do sol, a côr de ouro do restolho da palha, o Guadiana, lá ao fundo a espreitar, as estrelas que naquela escuridão ganham força. Impressionante. A comida, é o alentejo no seu melhor, cuidada e elegante, mas com o sabor da terra. A casa, está muito bem, os quartos sao muito agradaveis. A sala com a sua mesa comum para todos os hospedes, assume-se como centro de convivio que permite um relacionamento muito natural entre  todos os moradores. A piscina têm um enquadramento espantoso. Mas o que quero mesmo destacar, são os anfitriões, a Manuel e o Miguel,  recebem e encantam-nos. Fui para um hotel e fique com a sensação que fiquei em"
positive,"Sitio ideal para descansar, escrever um livro, fazer uma pausa, andar de bicicleta, encher os pulmões de ar e brindar à vida. Excelente para um encontro com a natureza, com os amigos e com um bom vinho."
positive,"Fui com os meus filhos mais velhos  e com uns amigos mais que especiais. Foi mesmo excelente poder ter a oportunidade de participar nas vindimas. Posso dizer que o vinho RISO 2012 tem também um toque nosso :).  Um ambiente muito natural, calmo, relaxante. Longe de todos, perto de tudo o que nos descansa. A casa fresquinha acolheu muito bem os trabalhadores cansados :) E agora nesta altura a Herdade do Vau já está com mais serviços. Piscina ... hummmmmmm.  Vou ter que lá voltar!"
positive,"Se procuram descanso num pequeno, subtil rustico-moderno de muito bom gosto e amplos espaços, este é, sem qualquer dúvida, o seu destino.  A envolvente conjuga na perfeição a vinha com o Guadiana. Não é excessivo, é simples, é perfeito. Recomendadissimo!"
positive,"Eu e minha família ficamos lá por uma noite e foi incrível. A viagem ajuda a construir a sensação de que você vai encontrar um lugar para relaxar e simplesmente aproveitar! Os quartos são lindos e toda a propriedade está muito bem conservada. As vistas são espetaculares e passar a tarde na piscina foi muito bom, como não curtir uma piscina com aquelas vistas? ! Jantamos e tomamos café da manhã ao ar livre, a comida e o serviço eram muito bons, produtos locais, atenção aos detalhes e medidas de distanciamento social em vigor. Uma prova de vinhos foi presenteada por um amigo e definitivamente recomendo, pois ajuda a conhecer um pouco mais sobre a sua paixão pela vinificação e a conhecer a história da Herdade do Vau, nem é preciso dizer como são lindos os vinhos. Definitivamente"
