sentiment,review
positive,Igreja
positive,Bonita igreja. Um altar muito bonito. Tem muita historia nessa igreja. Vale uma visita sem sombra de duvidas.
negative,Antiguidade e simplicidade
positive,"Uma igreja antiga, simples, mas repleta de historia e valor arqueologico. Pena estar fechada a maioria das vezes."
positive,Interessante
positive,Um museu simples mas muito bem cuidado. E muito interessante pois tem varias pecas diferentes. um bom aproveitamento da igreja.
positive,Para visitar
positive,"Museu que gracas aos exemplares que detem deve ser visitado. Um espolio importante a preservar, para admirar em dias de ferias em que o tempo abunda."
positive,A Melhorar
positive,"Igreja com alguma historia da regiao, mas muito diferente das fotos possiveis de ver na internet. Realidade nao esta de acordo."
positive,Seculos de historia!
negative,Os escritos e vestigios antigos de visigoticos e romanos. A importancia de outras eras no momento atual.
positive,Bater com o nariz na porta
positive,"Dois dias seguidos para o visitar e embora a informacao na net dissesse que estava aberto no horario em que la fui, ESTAVA SEMPRE FECHADO! Sem qualquer informacao."
positive,Excelente
positive,"Museu muito bem conseguido, funcionaria 5 estrelas, atenciosa com os visitantes. Vale a pena conhecer toda a cultura depositada no seu interior"
positive,Pouca informacao
positive,A entrada custa dois euros e da acesso ao Museu D. Leonor. O espaco encontra-se um pouco por baixo e as explicacoes sao algo parcas na minha opiniao.
positive,"De interesse sobretudo para quem se interessa por este periodo historico e percebe algo do assunto, caso contrario nao passam de pedras."
positive,Alentejo
negative,Atendimento pouco simpatico
positive,Pouco interessante.
positive,Com muito pouco para mostrar e atendimento pouco simpatico.  A visitar se nao tiver mais nada para fazer ...
positive,Coleccao Visigotica!
positive,Desconhecia que em Beja existia o maior espolio de pecas desta arte! A visita e um momento para aprender sobre a historia da cidade e do Pais!
positive,Junto ao castelo
positive,"Funciona em parceria com o museu regional, com bilhete unico, muito interessante e bem documentado. Vale a visita"
positive,Espaco bem documentado e de elevado interesse
positive,Espaco bem documentado e de elevado interesse este nucleo museologico visigotico complementando todo o historial tambem documentado no museu Regional de Beja - Rainha D. Leonor.
positive,Maquina do tempo
negative,Este nucleo museologico e impar pela colecao unica que tem de vestigios visigoticos na Zona sul de Portugal.
negative,Obrigatorio conhecer
positive,Bem pertinho do Castelo este museu possui pecas e recolhas unicas .Encontradas e catalogadas por antropologos que atestam a existencia de outras culturas e a importancia na vida de gentes que aqui habitaram...
positive,MAGNIFICO
positive,Gostei muito de visitar o Museu Visigotico em Beja.
positive,A area ocupada pelo  Museu podera nao ser muito grande mas a variedade de artefactos historicos e arqueologicos que podemos admirar e valiosissima.
positive,Recomendo vivamente a visita a este belissimo espaco.
positive,Muita pedra
positive,Pedras e mais pedras. Nao deixa de ser interessante. Destaco o tumulo de um cavaleiro de el-Rei D. Dinis
positive,Pequeno
positive,"Museu pequeno, situado em uma antiga igreja. O horario divulgado de abertura nao e cumprido muito fielmente, de modo que tivemos alguma dificuldade em achar, porque da primeira vez que passamos no local estava fechado, e nao ha placas. O ingresso vale tambem para o Museu Regional D. Leonor. A foto que ilustra o cabecalho e deste ultimo, e nao do Museu Visigotico."
positive,Um espaco pequeno com pouca variedade
positive,"E sabida a falta de vestigios visigoticos no nosso territorio. Por esse motivo explica-se que o museu tenha tao poucas pecas, mas de facto as que encerra sao muito boas, talvez unicas em Portugal."
positive,"Se nao se tiver uma base minima de conhecimentos de Historia... vai-se sem qualquer proveito, dado nada integrar o conteudo do museu num todo da Historia que conduziu ai aparecimento de Portugal."
negative,Ruinas antiguissimas
positive,"Criancas nao pagam e o valor e simbolico, mesmo bilhete para o museu regional."
negative,Nao necessita de muito tempo e fica ao lado do castelo.
positive,Nao falha em Beja
positive,A nao perder mesmo.
negative,Igreja museu
positive,Bom local para visitar. Gratuito. Um museu dentro de um museu ja que se localiza numa igreja. A arte visigotica e pouco exposta e isso aqui e conseguido.
positive,Maior espolio visigotico nacional
positive,"Entrem e apreciem o estilo visigotico muitas das vezes reaproveitado sobre o estilo romano.Tenham em mente que este edificio foi construido por volta do seculo III DC e preservado ao longo dos tempos.por la passaram romanos, visigodos e reis e rainhas portuguesas entre outros."
negative,Imperdivel
positive,"Este museu fica logo atras do castelo e funciona na antiga igreja, datada do seculo 6 e portanto muito antiga. Dica: a entrada permite acesso ao museu regional da cidade."
positive,Descoberto por acaso
negative,"Museu pequeno mas repleto de fragmentos que lhe conferem dimensao historica. A capela prima pela simplicidade e austeridade do espaco, tornando-se muito acolhedora."
negative,Apesar de pequeno...
positive,Um bom nicho para redescobrirmos as marcas visigoticas na nossa cultura portuguesa.
negative,"Apesar do espaco pequeno, houve uma boa tentativa de incluir e integrar as pecas expostas, na maioria pedacos de pedra decoradas, no seu contexto."
positive,A visitar!
positive,A nao perder
positive,"Museu da cidade, tambem chamado de Museu Rainha Dona Leonor, personagem que se pode ver na estatua do patio da entrada exterior. Com historia de antigo convento que acolhia a Soror Mariana Alcoforado, autora das cartas de amor escritas a um combatente frances da guerra da restauracao que ali combateu. Essas cartas viraram um famoso livro classico de literatura universal."
positive,Fechado e aparentemente inacessivel a partir de marco de 2019
negative,"Decepcionado em encerrar a marcha no final de marco de 2019, sem horario de funcionamento ou qualquer outra informacao fora do predio, ou qualquer outra indicacao de que estava fechado a partir do ingresso conjunto do Museu Regional."
positive,Vale a pena visitar.
positive,"Este lugar merece uma visita, se tiver tempo de sobra em Beja. Ha alguns artefatos interessantes aqui, mas e pequeno, mas a cidade e pequena."
positive,"Nao e mais uma igreja, mas, como um museu, e simples e arrumado."
positive,"Os remanescentes arquitetonicos mostram influencias classicas, pagas e cristas primitivas. Tambem Sherie e a informacao sobre os visigodos e um mapa interessante de suas migracoes. ."
negative,Um pequeno museu mas interessante
negative,"Este museu tem muito espaco para um pequeno numero de itens. No entanto, as explicacoes sao melhores aqui do que no museu regional e por isso e mais interessante. E muito perto do castelo e vale a pena cair dentro Seu bilhete deste museu serve como entrada no museu regional tambem."
positive,Um dos mais antigos edificios permanentes em Portugal
positive,"C6 Reino Visigodo Inicio igreja com esculturas e colunas em excelente estado de conservacao (um de apenas 4.esquerda pre-romanico em Portugal).  Felizmente, fomos ficando em Beja o suficiente para aguardar a reabertura da igreja (fechado devido a os problemas de saude de um membro da equipe)."
