sentiment,review
positive,"Hotel localizado no meio do Alentejo, mais precisamente na herdade da Figueirinha em Santa Vitoria, muito perto de Beja.  Local otimo para uma escapadela de fim de semana em familia, instalacoes muito bem cuidadas e staff muito prestavel e atencioso."
positive,"Ideal para uns excelentes momentos, descontrair e aproveitar o sossego em familia. Nada a volta, ideal para o repouso. Aconselho as refeicoes incluidas. Staff muito simpatico em geral. Pena a falta de atividades quando o clima nao ajuda. A piscina interior por marcacoes de 45min e jacuzzi e sauna inativo, acaba por limitar as possibilidades em dias de chuva. Quartos a precisar de uma modernizacao. Piscina para criancas exterior, parque e quinta dos animais faz a delicia dos mais pequenos."
positive,Excelente local! A comida e fantastica! Os vinhos divinais! Montes de diversoes p criancas e adultos. O staff 5 estrelas e sempre disponiveis! Uma herdade gigantesca! Aconselho a prova de vinhos!!! Ideal p passar um fim de semana em familia!!
positive,"Este hotel nunca falha , espacos para criancas sempre bem cuidado o staff e todo simpatico e impecavel , temos algumas restricoes na alimentacao e o restaurante e a sua equipa arranja solucao para tudo . Parabens ao Diretor Manuel e obrigado por esta maravilhosa semana que passei em familia ."
positive,"Eramos um casal com filhos gemeos de 12 anos e ficamos muito bem instalados no quarto 116, uma suite junior muito espacosa, em formato duplex e com vista para 2 frentes opostas: praca principal do resort e campo (quase) a perder de vista.  Ja tinhamos ficado no ano anterior no entao recem-estreado Vila Gale Alter Real em Alter do Chao, tendo este Clube de Campo  localizado no meio do nada, embora ainda assim nao muito longe de Beja  cumprido as nossas (ja elevadas) expectativas face a optima experiencia passada: solido customer service (que tanta falta faz ainda em boa parte da concorrencia mesmo neste segmento), boa piscina e instalacoes gerais, imensidao da herdade associada para longos passeios a pe e qualidade geral das refeicoes servidas. Ficamos alojados em regime de"
positive,"Numa estadia de 4 noites / 5 dias em familia - 3 adultos e 1 crianca, a avaliacao global e bastante positiva.  Para 4 pessoas o quarto revelou-se pequeno - cama de casal e 1 sofa cama que se converteu em duas camas. Ficava pouco espaco para nos movimentarmos dentro do quarto bem como para arrumar a oupa nos armarios de realcar a vantagem da varanda diretamente para o jardim. Ficando em meia-pensao a alimentacao - quer pequeno-almoco, quer jantar - revelou-se muito agradavel, variada e com pratos tipiscos.O espaco bonito e com uma esplanada para o jardim da qual tivemos o privilegio de assistir aos fantasticos por-do-sol.  O espaco em si e excelente para criancas desde a quinta pedagogica, ao espaco envolvente, a adega e ao lagar. A piscina igualmente agradavel embora pequena"
positive,"Hotel incrivel, para qualquer pessoa mas principalmente para criancas, staff do melhor, refeicoes optimas, animacao do melhor (Daniela.. Obrigado por tudo).. Apenas a precisar de uns toques de moderno nos quartos... Recomendo e a repetir logo que possivel.."
positive,"Excelente opcao de actividades para criancas. Desde piscinas com escorregas de agua, animadores, parque infantil, animais e atividades tanto incluidas como extra ao pacote de alojamento, as criancas ficam realmente entretidas durante toda a estadia.  Staff muito simpatico e atencioso no geral.  Quarto e casa de banho precisam remodelacao, e aprimorar na limpeza... Encontramos insectos mortos aos cantos do quarto, e marcas de ferrugem ou silicones ressequidos na WC de facil resolucao para um quatro estrelas.  Fraco isolamento de som nos quartos - a hora da soneca dos miudos, depois de almoco, ouve-se o barulho todo de uma festa que decorre diariamente a essa hora no exterior.  Nao ha opcoes vegan, e muito fracas opcoes vegetarianas ou mesmo de alternativa a carne (quase nao ha"
positive,"O Vila Gale Clube de Campo tem quase tudo, sobretudo para familias com criancas: tem piscina de adultos e piscina de criancas exterior, esta ultima com escorregas; tem piscina interior e jacuzzi; tem imenso espaco envolvente, com jardim, vinhas, olivais, pomares; tem animacao diversificada para os mais pequenos; tem animais; tem uma otima parceria com empresa de atividades outdoor; tem pequenos almocos talvez com um pouco menos variedade do que outros Vila Gale, mas com qualidade e servidos por um pessoal atento e diligente. O que falta? Cadeiras e mesa nos terracos dos quartos, climatizacao nas piscinas exteriores, reforco do pessoal de limpeza (uma simpatia, mas aparentemente sobrecarregadas), fixacao de pessoal (neste momento, veem-se tantos ou mais jovens do que funcionarios"
positive,"Hotel excepcional. Grande e repleto de atracoes para toda a familia. Para quem quer descanso e atividades, e a escolha certa. Quartos espacosos com vista maravilhosa. Atendimento muito atencioso, excelente limpeza. Refeicoes de muita qualidade tambem. Certamente voltaria e recomendaria esse hotel. Viagem feita em fev/19"
