Hotel,Estrelas,Avaliacoes,Preco
Pousada Convento Beja,"4,5 de 5 bolhas",751 avaliacoes,100
Vila Gale Clube de Campo,"4,5 de 5 bolhas",917 avaliacoes,99
Herdade dos Grous,"4,5 de 5 bolhas",229 avaliacoes,130
Hotel Bejense,4 de 5 bolhas,192 avaliacoes,63
Herdade do Vau,"4,5 de 5 bolhas",76 avaliacoes,85
Herdade Da Diabroria,4 de 5 bolhas,54 avaliacoes,76
Hotel Melius,4 de 5 bolhas,90 avaliacoes,75
BejaParque Hotel,"3,5 de 5 bolhas",159 avaliacoes,80
Hotel Sao Domingos,4 de 5 bolhas,135 avaliacoes,55
Maria`s Guesthouse,5 de 5 bolhas,7 avaliacoes,85 81
Hotel Santa Barbara,4 de 5 bolhas,62 avaliacoes,59
Beja Hostel,"3,5 de 5 bolhas",35 avaliacoes,50
Imperio romano guest house,"4,5 de 5 bolhas",5 avaliacoes,67
Guest House Stories,5 de 5 bolhas,1 avaliacao,50
Monte Das Beatas - Alojamento Local,5 de 5 bolhas,1 avaliacao,50
Hospedaria Santa Maria,3 de 5 bolhas,6 avaliacoes,36
Aljana Guest House,"4,5 de 5 bolhas",0 avaliacoes,99
Sesmarias Turismo Rural & SPA,5 de 5 bolhas,113 avaliacoes,90
Monte da Floresta B&B,"3,5 de 5 bolhas",19 avaliacoes,80 76
Casa de Pedrogao,4 de 5 bolhas,28 avaliacoes,54 51
Hotel Santa Clara,5 de 5 bolhas,32 avaliacoes,58
Herdade das Barradas da Serra,5 de 5 bolhas,229 avaliacoes,125
Paradise In Portugal,5 de 5 bolhas,407 avaliacoes,79
Villa Extramuros,5 de 5 bolhas,186 avaliacoes,
Albergaria Do Calvario,5 de 5 bolhas,2 286 avaliacoes,
