Hotel,Estrelas,Avaliacoes,Preco
Pousada Convento Beja,"4,5,5 bolhas",754 avaliacoes,100
Vila Gale Clube,Campo,"4,5,5 bolhas",919 avaliacoes,99
Hotel Bejense,4,5 bolhas,192 avaliacoes,63
Herdade do Vau,"4,5,5 bolhas",76 avaliacoes,86
Herdade Da Diabroria,4,5 bolhas,54 avaliacoes,76
BejaParque Hotel,"3,5,5 bolhas",159 avaliacoes,85
Hotel Melius,4,5 bolhas,90 avaliacoes,77
Hospedaria Dona Maria,4,5 bolhas,71 avaliacoes,50
Hotel Santa Barbara,4,5 bolhas,62 avaliacoes,60
Maria`s Guesthouse,5,5 bolhas,7 avaliacoes,85
Agro-Turismo do Roxo,4,5 bolhas,45 avaliacoes,90
Pousada,Juventude,Beja,4,5 bolhas,10 avaliacoes,29
Imperio romano guest house,"4,5,5 bolhas",5 avaliacoes,70
Monte Das Beatas - Alojamento Local,5,5 bolhas,1 avaliacao,50
Guest House Stories,3,5 bolhas,2 avaliacoes,50
Hospedaria Santa Maria,3,5 bolhas,6 avaliacoes,38
Aljana Guest House,"4,5,5 bolhas",0 avaliacoes,99
Herdade da Corte,4,5 bolhas,3 avaliacoes,600
Residencial Rosa do Campo,"4,5,5 bolhas",33 avaliacoes,
Sesmarias Turismo Rural & SPA,5,5 bolhas,115 avaliacoes,84
Monte da Floresta B&B,"3,5,5 bolhas",19 avaliacoes,70
Casa,Pedrogao,4,5 bolhas,28 avaliacoes,60
Hotel Santa Clara,5,5 bolhas,32 avaliacoes,58
Herdade das Barradas da Serra,5,5 bolhas,229 avaliacoes,
Paradise In Portugal,5,5 bolhas,407 avaliacoes,
Villa Extramuros,5,5 bolhas,186 avaliacoes,116
Albergaria Do Calvario,5,5 bolhas,2 287 avaliacoes,
Monte Alerta Turismo Rural,5,5 bolhas,242 avaliacoes,1 034
