,Restaurant
0,Intimo restaurante
1,Restaurante Dom Dinis
2,Herdade dos Grous Restaurante
3,Adega Tipica Restaurante
4,Bifanas do Marinho
5,Pulo Do Lobo
6,Restaurante Sabores Do Monte
7,Toi Farois
8,Pizzaria Milano
9,Frango a Guia
10,Pizaria e Restaurante Mediterraneo Dona Maria
11,Casa de Pasto - Tem Avondo
12,Restaurante Espelho D'Agua
13,Hamburgueria da Avenida
14,O Arbitro
15,Adega do Castelo - Museu do Vinho
16,Pinguinhas - Tapas e Petiscos
17,Taberna A Pipa
18,Luiz Da Rocha
19,Restaurante Pousada Sao Francisco
20,Malhadinha Restaurant Wine & Gourmet
21,Sabores do Campo
22,A Ilha Do Peixe
23,A Merenda Snack Bar Restaurante
24,Art Deco
25,A Pracinha
26,Os Bolos da Marisa
27,Restaurante Tipico O Arcada
28,Restaurante Alcoforado
29,Restaurante A Lareira
