Expressao, Frequencia
"Surpresa maravilhosa", 0.009239332327148086
"Igreja", 0.08596317751626563
"Surpresa", 0.09568045026443411
"maravilhosa", 0.09568045026443411
"guia", 0.09568045026443411
"enorme valor artistico", 0.016559150827736194
"talhas douradas", 0.02570861714399338
"azulejos", 0.04491197687864554
"pinturas", 0.04491197687864554
"Monumento de enorme", 0.04940384002065631
"valor artistico", 0.04940384002065631
"enorme valor", 0.09700399286574239
"Monumento", 0.15831692877998726
"artistico", 0.15831692877998726
"talhas", 0.15831692877998726
"douradas", 0.15831692877998726
"enorme", 0.29736558256021506
"valor", 0.29736558256021506
"Surpreendente ate", 0.04940384002065631
"riqueza interior", 0.04940384002065631
"ate pelo contraste", 0.09700399286574239
"contraste da simplicidade", 0.09700399286574239
"simplicidade exterior", 0.09700399286574239
"Surpreendente", 0.15831692877998726
"interior", 0.15831692877998726
"ate", 0.29736558256021506
"contraste", 0.29736558256021506
"simplicidade", 0.29736558256021506
"exterior", 0.29736558256021506
"riqueza", 0.29736558256021506
"Misterios de Maria", 0.003186830720042235
"Susana aos Prazeres", 0.00444318827900726
"Prazeres e Misterios", 0.00444318827900726
"guiada pela Susana", 0.007743432063478832
"visita nao", 0.013527995261974615
"valiosa viagem guiada", 0.013527995261974615
"Maria", 0.04776309965539685
"Susana", 0.06650965107397505
"Prazeres", 0.06650965107397505
"Misterios", 0.06650965107397505
"visita", 0.1155310835876123
"nao", 0.1155310835876123
"mesma", 0.1155310835876123
"valiosa", 0.1155310835876123
"guiada", 0.1155310835876123
"passarem por Beja", 0.01984585111858601
"Beja visitem", 0.01984585111858601
"visitem esta preciosa", 0.04188746641162499
"Portanto", 0.05899937629682816
"Arte", 0.06588837669267192
"Beja", 0.09705179139403544
"presenca da Susana", 0.10084113441901119
"vao perder", 0.18075564686791562
"artistica e esoterica", 0.18075564686791562
"Susana", 0.19677146788549632
"passarem", 0.2005079697193566
"visitem", 0.2005079697193566
"preciosa", 0.2005079697193566
"exijam a presenca", 0.2766850298235749
"leitura e interpretacao", 0.2766850298235749
"interpretacao artistica", 0.2766850298235749
"perder", 0.32883716426354986
"esoterica", 0.32883716426354986
"exijam", 0.46553351027698087
"presenca", 0.46553351027698087
"Susana", 0.2718250226855089
"dormir", 0.36073110501666333
"Marco episcopal", 0.04940384002065631
"episcopal da cidade", 0.04940384002065631
"Marco", 0.15831692877998726
"cidade", 0.15831692877998726
"episcopal", 0.29736558256021506
"Junto ao arco", 0.04940384002065631
"magnifico altar", 0.04940384002065631
"pequena de dimensao", 0.04940384002065631
"arco dos prazeres", 0.09700399286574239
"prazeres apresenta", 0.09700399286574239
"apresenta um magnifico", 0.09700399286574239
"Junto", 0.15831692877998726
"altar", 0.15831692877998726
"frescos", 0.15831692877998726
"pequena", 0.15831692877998726
"contar", 0.15831692877998726
"arco", 0.29736558256021506
"prazeres", 0.29736558256021506
"apresenta", 0.29736558256021506
"magnifico", 0.29736558256021506
"dimensao", 0.29736558256021506
"historia", 0.29736558256021506
"Surpreendente", 0.04491197687864554
"nao ve coracoes", 0.015380821171891606
"caras nao", 0.02570861714399338
"aplica", 0.09568045026443411
"coracoes", 0.09568045026443411
"caras", 0.15831692877998726
"nao", 0.15831692877998726
"Beja passar", 0.012671152666912374
"visitar obrigatoriamente", 0.02023173178628299
"Beja", 0.07598193161157572
"fora nao gera", 0.10931523508899949
"facto dificil nao", 0.10931523508899949
"obrigatoriamente", 0.1204195159123391
"Efectivamente vista", 0.15070989298999168
"gera grandes expectativas", 0.15070989298999168
"boca aberta", 0.15070989298999168
"igreja", 0.1646786715155717
"beleza", 0.1646786715155717
"passar", 0.1646786715155717
"visitar", 0.1646786715155717
"vista por fora", 0.19785962658599535
"facto dificil", 0.19785962658599535
"ficar de boca", 0.19785962658599535
"fora nao", 0.205105330142926
"nao gera", 0.205105330142926
"dificil nao", 0.205105330142926
"nao", 0.2093853608883364
"Imperdivel", 0.04491197687864554
"Frescos e azulejos", 0.04940384002065631
"azulejos magniificos", 0.04940384002065631
"Frescos", 0.15831692877998726
"magniificos", 0.15831692877998726
"azulejos", 0.29736558256021506
"Jesus Cristo", 0.02140921543860024
"azulejos sobre Jesus", 0.04498862876540802
"Visita muito interessante", 0.04940384002065631
"interessante nao", 0.09700399286574239
"frescos pintados", 0.09700399286574239
"pintados e azulejos", 0.09700399286574239
"Jesus", 0.1447773057422032
"Cristo", 0.1447773057422032
"Visita", 0.15831692877998726
"edificacao", 0.15831692877998726
"interessante", 0.29736558256021506
"nao", 0.29736558256021506
"frescos", 0.29736558256021506
"pintados", 0.29736558256021506
"azulejos", 0.29736558256021506
"historia", 0.29736558256021506
"simples por fora", 0.02570861714399338
"fora e riquissima", 0.02570861714399338
"simples", 0.15831692877998726
"fora", 0.15831692877998726
"riquissima", 0.15831692877998726
"riquissima igreja", 0.0900874491451712
"passa por fora", 0.10495275980198478
"nenhum valor", 0.11500012735698557
"fora nao", 0.12311155138900688
"igreja", 0.17480745739493797
"fora", 0.2009125924670771
"valor", 0.21816265475032826
