Expressao, Frequencia
"residencial nao servira", 0.013538379765252068
"alojamento moderno", 0.028060744847452326
"antiga residencial nao", 0.035800687665149745
"procura um alojamento", 0.038415785800686664
"nao servira", 0.06397275754626836
"antiga residencial", 0.06920749631906592
"residencial nao", 0.0887238371865014
"moderno", 0.14190941132751
"servira", 0.14190941132751
"minimos exigiveis atendendo", 0.1625258007427464
"sao antigas", 0.17971887460406588
"procura", 0.192339826432322
"alojamento", 0.192339826432322
"residencial", 0.192339826432322
"nao", 0.21184751254389675
"minimos exigiveis", 0.25773666116471283
"exigiveis atendendo", 0.25773666116471283
"atendendo aos precos", 0.25773666116471283
"precos cobrados", 0.25773666116471283
"instalacoes que sao", 0.25773666116471283
"Pessima experiencia", 0.03734269021881322
"experiencia e atendimento", 0.03734269021881322
"Livro de Reclamacoes", 0.1408558888301561
"praticado pela Hospedaria", 0.1526254481225945
"Pessima", 0.1584039414134199
"atendimento", 0.1584039414134199
"Booking", 0.18185137240929722
"Booking nao corresponde", 0.2101573954740146
"Preco", 0.21314991948039178
"experiencia", 0.22725705134454877
"check-in", 0.25862207905646994
"Hospedaria", 0.262056802798445
"Booking nao", 0.27511472701873974
"nao", 0.29661151219247717
"Reclamacoes", 0.31818815251475213
"possui Livro", 0.33441386180630833
"nao possui Livro", 0.3430191925454368
"Livro", 0.3880254533499289
"alterar na plataforma", 0.41193539425794745
"reserva pelo Booking", 0.418413487399522
"Excelente localizacao", 0.01596275864979965
"Excelente", 0.12534732762780282
"localizacao", 0.12534732762780282
"funcionarios simpaticos", 0.17011459342639978
"Wifi gratis", 0.21460669356157294
"limpeza e funcionarios", 0.23668230405254048
"passar por Beja", 0.24534584229321962
"Beja", 0.3213013018657143
"simpaticos", 0.33232220036314214
"Wifi", 0.42034297790575054
"gratis", 0.42034297790575054
"limpeza", 0.43747558541953663
"funcionarios", 0.43747558541953663
"Sitio a voltar", 0.4467177871668099
"albergaria", 0.47053046418402145
"Sitio", 0.5035854596652765
"Varios restaurantes", 0.5039453005071032
"faceis de encontrar", 0.5039453005071032
"Varios", 0.5273163836963415
"encontrar", 0.5273163836963415
"funcionarios simpaticos", 0.015326706091765225
"Hospedaria limpa", 0.05111593944743836
"WIFI gratis", 0.06232927562168048
"secador e WIFI", 0.07551270987048313
"simpaticos", 0.10928876152193441
"limpa", 0.1381234811139426
"funcionarios", 0.1381234811139426
"Hospedaria", 0.17603872487494368
"WIFI", 0.19635561450901248
"visita a cidade", 0.20703534145821473
"hospedaria encontra", 0.2128407451109098
"pequeno-almoco e continental", 0.25081104547770544
"continental e excelente", 0.25081104547770544
"Localizacao perfeita", 0.2744926244543487
"carro facilmente", 0.2744926244543487
"gratis", 0.29880620096118904
"perfeita e junto", 0.3305698522287991
"estacionar o carro", 0.3305698522287991
"confortavel", 0.3575700909154904
"amenities", 0.3575700909154904
"cuidada e desleixada", 0.015465128052409167
"Hospedaria", 0.07145025265006083
"desleixada", 0.10519328464496844
"antiga", 0.1447773057422032
"cuidada", 0.1447773057422032
"limpeza deixa", 0.1588666998905099
"desejar principalmente", 0.1588666998905099
"marcas de bolor", 0.20785651292262122
"materiais com ferrugem", 0.2704390918235917
"ferrugem e marcas", 0.2704390918235917
"aspectos poderiam", 0.35553610271667324
"poderiam ser melhorados", 0.35553610271667324
"limpeza", 0.3702539456099092
"deixa", 0.3702539456099092
"desejar", 0.3702539456099092
"principalmente", 0.3702539456099092
"bolor", 0.37298424001381364
"recursos", 0.42163019807883656
"materiais", 0.4613789858464135
"ferrugem", 0.4613789858464135
