0,1,2,3,4,5,6
1,Muito bom.,3,positive,Castelo bem conservado,setembro,2021
2,"Castelo bem conservado, com torre de menagem altiva e exuberante, pena fechar a horas proibitivas. Pode-se dar a volta por fora e tirar umas fotos.",3,positive,altiva e exuberante,agosto,2021
3,"Bonito, mas podia ser melhor",3,positive,pena fechar,agosto,2021
4,Castelo bonito numa zona central de Beja. Nao se paga para entrar nem para andar pelas muralhas. A vista e bonita e tranquila. Existe um parque de terra gratuito ao lado do castelo.,3,positive,torre de menagem,maio,2021
5,"No entanto, apesar de existirem pessoas dedicadas, nao se vende qualquer tipo de recordacoes.",3,negative,menagem altiva,setembro,2020
6,Tambem nao e possivel subir a torre o que foi uma desilusao.,3,positive,Castelo,agosto,2020
7,A rever.,3,positive,conservado,agosto,2020
8,Bem preservado,3,positive,exuberante,agosto,2020
9,E central e tem uma torre bem alta!,3,positive,pena,julho,2020
10,Serve de referencia para quem circula perto de Beja.,3,positive,proibitivas,janeiro,2020
11,"A partir do castelo, percorremos as ruas e parte antiga da cidade ate aos pontos de interesse e restauracao.",3,positive,tirar umas fotos,fevereiro,2020
12,Vista magnifica sobre a cidade,3,positive,torre,fevereiro,2020
13,E agradavel passear pelas muralhas e usufruir da vista de 360o que dali se tem sobre a cidade. Apesar de nao ser possivel visitar o interior da torre (ja tinha fechado) o percorrer as muralhas valeu sem duvida uma visita nao so por ser uma das principais atracoes da cidade mas pela sua vista.,3,positive,menagem,fevereiro,2020
14,Castelo simpatico para passeio e uma vista de 360o sobre Beja,3,negative,altiva,agosto,2019
15,"O Castelo, tem uns degraus ingremes mas largos o que facilitou a subida e descida (mas nao aconselhado a idosos), dando uma vista fantastica de 360o de Beja e da paisagem alentejana.",3,positive,fechar,agosto,2019
16,Torre muito bonita,3,positive,volta por fora,agosto,2019
17,"Bela e uma das capitais de distrito do Alentejo, dizem que o Alentejo e terra de castelos, logo o castelo de Beja tinha de ser imponente .... Correspondeu as expectativas, sobressai a torre a fazer lembrar a torre de belem.... Esta bem conservado e para passear nas muralhas nao se paga! A cidade de Beja e muito pacata e limpa aconselho depois da visita ao castelo uma refeicao regional na cidade!",3,positive,fora e tirar,outubro,2019
18,Castelo de Beja,3,positive,Pode-se,maio,2019
