Expressão, Frequência
'melhores situacoes', 0.019943439662486344
'encontrava nas melhores', 0.033100028790236186
'mancha de humidade', 0.033100028790236186
'teto nao', 0.04816043877099025
'nao estava pintado', 0.06562928105097784
'nao se encontrava', 0.10620858116989315
'situacoes', 0.10923981997294611
'visto', 0.10923981997294611
'pintado', 0.10923981997294611
'denunciando', 0.10923981997294611
'nao', 0.12834816870701238
'encontrava', 0.17899586521379354
'melhores', 0.17899586521379354
'teto', 0.17899586521379354
'mancha', 0.17899586521379354
'humidade', 0.17899586521379354
'peq.almoco foi excecional', 0.07796891081290885
'excecional', 0.2005079697193566
'peq.almoco', 0.36073110501666333
'localizacao', 0.6621399683957523
'funcionaria muito profissional', 0.07796891081290885
'profissional', 0.2005079697193566
'funcionaria', 0.36073110501666333
'atendimento', 0.46553351027698087
'Excelente pequeno almoco', 0.008321268142839145
'Excelente pequeno', 0.04940384002065631
'pequeno almoco', 0.04940384002065631
'Excelente', 0.15831692877998726
'almoco', 0.15831692877998726
'pequeno', 0.29736558256021506
'Simpatia do staff', 0.02570861714399338
'Simpatia', 0.15831692877998726
'staff', 0.15831692877998726
'Estabelecimento muito asseado', 0.02570861714399338
'Estabelecimento', 0.15831692877998726
'asseado', 0.15831692877998726
'banho merece melhoramento', 0.016559150827736194
'casa de banho', 0.04940384002065631
'merece melhoramento', 0.04940384002065631
'banho merece', 0.09700399286574239
'casa', 0.15831692877998726
'melhoramento', 0.15831692877998726
'banho', 0.29736558256021506
'merece', 0.29736558256021506
'toque de conforto', 0.015380821171891606
'entanto necessita', 0.02570861714399338
'localizado', 0.09568045026443411
'conforto', 0.09568045026443411
'entanto', 0.15831692877998726
'necessita', 0.15831692877998726
'toque', 0.15831692877998726
'Nao gostei', 0.015380821171891606
'gostei da iluminacao', 0.02570861714399338
'Nao', 0.09568045026443411
'especialmente', 0.09568045026443411
'gostei', 0.15831692877998726
'iluminacao', 0.15831692877998726
'conforto da cama', 0.015380821171891606
'cama', 0.09568045026443411
'silencio', 0.09568045026443411
'conforto', 0.15831692877998726
'localizacao', 0.15831692877998726
'Wifi gratuito', 0.008293207122436794
'Hotel amplo', 0.009239332327148086
'pequeno-almoco e Wifi', 0.013797198203993007
'Wifi', 0.08596317751626563
