Expressao, Frequencia
'Simpatia dos funcionarios', 0.02570861714399338
'Simpatia', 0.15831692877998726
'funcionarios', 0.15831692877998726
'Limpeza excelente', 0.028365997519619626
'simpatia dos funcionarios', 0.028365997519619626
'Limpeza', 0.16608299810920873
'excelente', 0.16608299810920873
'instalacoes', 0.16608299810920873
'simpatia', 0.16608299810920873
'funcionarios', 0.16608299810920873
'hotel com qualidade', 0.29115238207276045
'preco acima', 0.29115238207276045
'acima da media', 0.29115238207276045
'volte a Beja', 0.3032380205089867
'Beja', 0.33865773973883095
'nao', 0.3477581463352448
'Definitivamente', 0.4088772730222395
'qualidade', 0.4088772730222395
'preco', 0.4088772730222395
'media', 0.4088772730222395
'Fala-se', 0.5019316238907852
'rua', 0.5019316238907852
'hotel', 0.5515055349075658
'nao tinha frigobar', 0.003969605018367032
'nao tinha', 0.020744656539556924
'solteiro na verdade', 0.020744656539556924
'tinha frigobar', 0.03439110359613085
'casal eram', 0.03439110359613085
'cama de casal', 0.037547207484142704
'camas de solteiro', 0.037547207484142704
'eram duas camas', 0.08533387417603924
'nao', 0.11145728654016383
'verdade', 0.11145728654016383
'tinha', 0.1823394614884183
'frigobar', 0.1823394614884183
'casal', 0.1823394614884183
'eram', 0.1823394614884183
'solteiro', 0.1823394614884183
'cama', 0.19846736735231071
'camas', 0.19846736735231071
'hotel e acessivel', 0.015099935621315529
'estrutura e localizacao', 0.015099935621315529
'acessivel para pessoas', 0.02249651976012989
'pessoas com mobilidade', 0.02249651976012989
'mobilidade reduzida', 0.02249651976012989
'reduzida e possui', 0.02249651976012989
'possui boa estrutura', 0.02249651976012989
'hotel', 0.10028582371075691
'localizacao', 0.10028582371075691
'cafe da manha', 0.11755105063023073
'acessivel', 0.14832923246533666
'pessoas', 0.14832923246533666
'mobilidade', 0.14832923246533666
'reduzida', 0.14832923246533666
'possui', 0.14832923246533666
'estrutura', 0.14832923246533666
'cafe', 0.2790829227183407
'manha', 0.37689977775222827
'nao sao insonorizados', 0.00683775013685594
'sao insonorizados', 0.019074592534117127
'nao sao', 0.053330253140700896
'insonorizados', 0.12192418387502924
'vidros nao ajudam', 0.12454350250200026
