Expressao, Frequencia
'Perda de tempo', 0.02570861714399338
'Perda', 0.15831692877998726
'tempo', 0.15831692877998726
'sair do hotel', 0.01885184514296534
'domingo e verificamos', 0.023858537536701654
'verificamos se estariam', 0.023858537536701654
'estariam abertos', 0.023858537536701654
'minutos a espera', 0.11284714419647283
'hotel', 0.1212106822739976
'espera e ninguem', 0.13700809214792364
'ninguem apareceu', 0.14240595528755473
'domingo', 0.15265180065154937
'verificamos', 0.15265180065154937
'estariam', 0.15265180065154937
'abertos', 0.15265180065154937
'sair', 0.15265180065154937
'espera', 0.15654349224041222
'volto', 0.16550403102284808
'porta novamente', 0.18465486186794294
'dizia volto', 0.18743461030352787
'volto ja havia', 0.18743461030352787
'porta', 0.18960434944729745
'estavamos a espera', 0.19789873606651548
'habitou vida', 0.04940384002065631
'preste atencao', 0.04940384002065631
'pes no chao', 0.09700399286574239
'chao onde habitou', 0.09700399286574239
'vida', 0.15831692877998726
'preste', 0.15831692877998726
'detalhe', 0.15831692877998726
'pes', 0.29736558256021506
'chao', 0.29736558256021506
'habitou', 0.29736558256021506
'atencao', 0.29736558256021506
'museologico de Beja', 0.008869252025876469
'ideia bastante original', 0.023858537536701654
'nucleo museologico', 0.045257100150449044
'Beja', 0.05759041105877046
'original e interessante', 0.11299846200797732
'nucleo', 0.1418181022791196
'museologico', 0.15265180065154937
'ideia', 0.15265180065154937
'original', 0.15265180065154937
'nucleo integra', 0.1564143733400488
'piso e revestido', 0.17388440427176166
'revestido em vidro', 0.17388440427176166
'permitem apreciar', 0.17388440427176166
'apreciar cada detalhe', 0.17388440427176166
'encontra embaixo', 0.17388440427176166
'estruturas arqueologicas sao', 0.18315353541595908
'estruturas', 0.2219397873536492
'achados das escavacoes', 0.24380626912018066
'materiais.E possivel', 0.24380626912018066
'periodo romano', 0.24380626912018066
'Historia', 0.15831692877998726
'pes', 0.15831692877998726
'varias epocas deixaram', 0.06672462416318604
'Visite vestigios', 0.07796891081290885
'povos antigos', 0.07796891081290885
'deixaram na cidade', 0.07796891081290885
'vestigios que povos', 0.1495930091794576
'varias epocas', 0.1495930091794576
'epocas deixaram', 0.1495930091794576
'Visite', 0.2005079697193566
'antigos', 0.2005079697193566
'cidade', 0.2005079697193566
'vestigios', 0.36073110501666333
'povos', 0.36073110501666333
'varias', 0.36073110501666333
'epocas', 0.36073110501666333
'deixaram', 0.36073110501666333
'quase', 0.6621399683957523
'possivel', 0.6621399683957523
'imaginar', 0.6621399683957523
'vida', 0.6621399683957523
'quase possivel', 0.7807198046783035
