Expressão, Frequência
'portas da cidade', 0.04940384002065631
'cidade', 0.15831692877998726
'portas', 0.29736558256021506
'entra em Beja', 0.0605689221549672
'Beja pelo cemiterio', 0.0605689221549672
'bela ermida', 0.07796891081290885
'cemiterio depara-se', 0.1495930091794576
'Beja', 0.15831692877998726
'ermida', 0.2005079697193566
'entra', 0.36073110501666333
'cemiterio', 0.36073110501666333
'depara-se', 0.36073110501666333
'bela', 0.36073110501666333
'Facil visitar', 0.4456055016437946
'Facil', 0.46553351027698087
'interior', 0.46553351027698087
'visitar', 0.6621399683957523
'fora', 0.6621399683957523
'nao', 0.6621399683957523
'tendo', 0.6621399683957523
'visita', 0.6621399683957523
'visitar por fora', 0.7807198046783035
'fora mas nao', 0.7807198046783035
'mesquita', 0.15831692877998726
'onibus enquanto iamos', 0.06672462416318604
'predio no onibus', 0.1495930091794576
'onibus enquanto', 0.1495930091794576
'enquanto iamos', 0.1495930091794576
'castelo', 0.2005079697193566
'passamos', 0.36073110501666333
'predio', 0.36073110501666333
'onibus', 0.36073110501666333
'enquanto', 0.36073110501666333
'iamos', 0.36073110501666333
'lugares de culto', 0.4456055016437946
'Aparentemente', 0.46553351027698087
'culto', 0.46553351027698087
'mesquita', 0.6621399683957523
'regiao', 0.6621399683957523
'lugares', 0.6621399683957523
'mesquita da regiao', 0.7807198046783035
