Expressao, Frequencia
'Pessoal da recepcao', 0.006395045109829579
'atenciosos e prestativos', 0.01294899806914546
'trocaram imediatamente', 0.01294899806914546
'recepcao e servicos', 0.015142480104617105
'frigobar nao', 0.015142480104617105
'nao estava funcionando', 0.015142480104617105
'funcionando e trocaram', 0.015142480104617105
'Excelente hotel', 0.01518073295396622
'Pessoal', 0.052028357704815203
'Excelente', 0.07143413599747847
'hotel', 0.10466791714857
'prestativos', 0.10466791714857
'imediatamente', 0.10466791714857
'recepcao', 0.12213355681213398
'servicos', 0.12213355681213398
'atenciosos', 0.12213355681213398
'frigobar', 0.12213355681213398
'nao', 0.12213355681213398
'funcionando', 0.12213355681213398
'trocaram', 0.12213355681213398
'renovacao e utilizacao', 0.01655795539723068
'Patrimonio historico', 0.0243232841157239
'nivel de recuperacao', 0.0243232841157239
'melhor nivel', 0.03585884949500361
'historia do Convento', 0.09178397028427458
'Patrimonio', 0.12762544885024293
'recuperacao', 0.12762544885024293
'renovacao', 0.12762544885024293
'utilizacao', 0.12762544885024293
'Magnificas salas', 0.12804478248225368
'lindo claustro mostram', 0.14796729626411229
'historico', 0.18605780169822753
'melhor', 0.18605780169822753
'nivel', 0.18605780169822753
'Convento', 0.1899598098831226
'Localizacao central', 0.2209176424908029
'estacionamento no perimetro.', 0.2209176424908029
'lindo claustro', 0.24355831154277052
'claustro mostram', 0.24355831154277052
'mostram algumas colecoes', 0.24355831154277052
'extrema simpatia', 0.01926937659078339
'recebidos com extrema', 0.025283359075418045
'Pousada de Beja', 0.04673812824945541
'casamento na Pousada', 0.09052295424174918
'Chegamos', 0.12038801568682905
'simpatia', 0.12038801568682905
'meia-noite', 0.15703462869977586
'recebidos', 0.15703462869977586
'extrema', 0.15703462869977586
'suite tinha vista', 0.1670964673105247
'Nespresso a fruta', 0.17446642363665554
'aniversario de casamento', 0.18247655915683797
'filha e reservamos', 0.18247655915683797
'suite', 0.20028702149990998
'cafe Nespresso', 0.2098329807248616
'Pousada', 0.2113083388778639
'Beja', 0.2113083388778639
'suite tinha', 0.24126704343251876
'tinha vista', 0.30796009196409313
'Passamos', 0.3221905028894634
'Gostei', 0.13698032209793545
'Destaco a beleza', 0.14453197221722358
'localizacao da pousada', 0.19680605712233185
'pequeno almoco', 0.19680605712233185
'alojamento', 0.1987200862297883
'hospedes Ginasio', 0.22250568961035264
'Ginasio e piscina', 0.22250568961035264
'qualidade', 0.25034472249110323
'optima qualidade', 0.30156504028482944
'Ginasio', 0.327045120525967
'piscina interior', 0.3295776769913972
'Destaco', 0.3553595570855405
'beleza', 0.3553595570855405
'pousada', 0.3553595570855405
'staff', 0.3553595570855405
'almoco', 0.3553595570855405
'longas sera pertinente', 0.41475860910597584
'sera pertinente disponibilizar', 0.41475860910597584
'interior', 0.44541159219475346
'longas sera', 0.44868130010273827
'reserva tinha', 0.07664660727436781
'reserva', 0.26681477783343116
'tinha', 0.26681477783343116
'tipo', 0.26681477783343116
'atribuido', 0.26681477783343116
'Parque infantil insuficiente', 0.2679264088408026
'descricao', 0.2935484562214297
'Parque infantil', 0.30205012803545117
'insuficiente e fechado', 0.30205012803545117
'tinha a descricao', 0.3395574170317628
'Espaco bonito', 0.3492865846726382
'Parque', 0.41552525266112145
'fechado', 0.41552525266112145
'descricao historica', 0.4259420605235645
