Expressão, Frequência
'recepcao disponivel', 0.03691833188571043
'dormir no carro', 0.03691833188571043
'fiquei a dormir', 0.0538559528668252
'disponivel', 0.15749663764044425
'carro', 0.15749663764044425
'Nao', 0.17427073530375148
'recepcao', 0.22606130511873754
'fiquei', 0.22606130511873754
'dormir', 0.22606130511873754
'reserva por telefone', 0.2472629346530474
'entrada apos reserva', 0.2581993087679458
'Nao tem recepcao', 0.30990941202870786
'entrada apos', 0.3397652860271247
'apos reserva', 0.3397652860271247
'telefone', 0.39366414499867614
'deram nenhuma solucao', 0.4083224590345811
'Liguei', 0.4861033843326941
'solucao', 0.4861033843326941
'deslocaram', 0.5035877323797006
'entrada', 0.5035877323797006
'recuperar energias', 0.023159389920526036
'ideal para descansar', 0.029226595572066243
'descansar e recuperar', 0.029226595572066243
'Alentejo', 0.07189629107106865
'energias', 0.13432294512962634
'ideal', 0.1685130794181913
'descansar', 0.1685130794181913
'recuperar', 0.1685130794181913
'bicicleta', 0.17703341804976064
'pequeno almoco', 0.28646738002084693
'comida ao jantar', 0.28646738002084693
'fantastico', 0.3501847162241978
'espreguicadeiras e camas', 0.37566032866002586
'estender a toalha', 0.37566032866002586
'excelente', 0.43982009490945906
'almoco', 0.43982009490945906
'jantar', 0.43982009490945906
'area da piscina', 0.44952462121210035
'piscina tem varias', 0.44952462121210035
'varias espreguicadeiras', 0.44952462121210035
'termos de decoracao', 0.019344911181363354
'gosto em termos', 0.02287882361403382
'nao', 0.10523850331576055
'calmo', 0.12689392464404836
'decoracao', 0.12689392464404836
'pequeno almoco', 0.12884571760206445
'aranhas e insetos', 0.1457272976226126
'Simpatia dos funcionarios', 0.14912315389288786
'Comida bem confecionada', 0.14912315389288786
'alojados', 0.14955631343033957
'sesmarias', 0.14955631343033957
'pensado', 0.14955631343033957
'gosto', 0.14955631343033957
'termos', 0.14955631343033957
'acho que seja', 0.1679164415360117
'gosta de aranhas', 0.1679164415360117
'descansar', 0.1730941138308767
'nao acho', 0.18993167822153914
'nao gosta', 0.18993167822153914
'pequeno almoco poderia', 0.21836050244471455
'belas planicies alentejanas', 0.03234911961829191
'prima pela simplicidade', 0.041665455124044515
'belas planicies', 0.06058137286369162
'comida maravilhosos', 0.1134834224183381
'planicies alentejanas', 0.11834419702010474
'alojamento prima', 0.15831836883870856
'Rodeado', 0.16735947717894054
'simplicidade', 0.16735947717894054
'conforto', 0.16735947717894054
'maravilhosos', 0.16735947717894054
'conforto e comida', 0.2079127501873803
'belas', 0.2389998111565204
'planicies', 0.2389998111565204
'prima', 0.2389998111565204
'maravilhosa', 0.25570754111071065
