Expressao, Frequencia
'muita variedade', 0.02541909697430123
'carnes vermelhas', 0.02541909697430123
'pratos bem servidos', 0.02541909697430123
'atencioso e simpatico', 0.02541909697430123
'variedade neste tipo', 0.04188746641162499
'tipo de carnes', 0.04188746641162499
'staff muito atencioso', 0.04188746641162499
'Comida', 0.12363091320521931
'muita', 0.12363091320521931
'vermelhas', 0.12363091320521931
'pratos', 0.12363091320521931
'simpatico', 0.12363091320521931
'Parabens.', 0.17881754828257995
'variedade', 0.2005079697193566
'tipo', 0.2005079697193566
'carnes', 0.2005079697193566
'servidos', 0.2005079697193566
'staff', 0.2005079697193566
'atencioso', 0.2005079697193566
'amigos solicitamos tabua', 0.0010378185479078276
'nao poderia deixar', 0.0010378185479078276
'Jantar de amigos', 0.007948096222458798
'picanha trinchada', 0.007948096222458798
'migas de espargos', 0.007948096222458798
'alho e nao', 0.007948096222458798
'pure de maca', 0.007948096222458798
'amigos solicitamos', 0.010159422250580143
'solicitamos tabua', 0.010159422250580143
'tabua de vaca', 0.010159422250580143
'vaca com entrecote', 0.010159422250580143
'entrecote e picanha', 0.010159422250580143
'surpresa esta magnifico', 0.010159422250580143
'mesmo acompanha', 0.010159422250580143
'acompanha com migas', 0.010159422250580143
'nao poderia', 0.010159422250580143
'poderia deixar', 0.010159422250580143
'batatas caseiras', 0.010159422250580143
'caseiras e pure', 0.010159422250580143
'marcar mesa Recomendo', 0.012872563939974798
'vale apena pedir', 0.007060623644552883
'grelhada mista', 0.0181730618498524
'nivel superior', 0.02798548897402838
'vale apena', 0.03148373140343896
'aconselho a reservar', 0.03148373140343896
'reservar mesa', 0.03148373140343896
'servico de nivel', 0.04093107465830439
'qualidade acima', 0.04612014230484059
'acima da media', 0.04612014230484059
'media com servico', 0.04612014230484059
'apena pedir', 0.04612014230484059
'mista de nivel', 0.08288939085266671
'pedir a grelhada', 0.09221204605465788
'nivel', 0.09363681668682787
'grelhada', 0.09363681668682787
'mista', 0.09363681668682787
'Almoco', 0.14536815511045806
'superior', 0.14536815511045806
'vale', 0.14536815511045806
'aconselho', 0.14536815511045806
'cidade de Beja', 0.028032297816973136
'Beja este maravilhoso', 0.028032297816973136
'maravilhoso restaurante', 0.04212915734364612
'venha visitar', 0.06828380050362218
'visitar a cidade', 0.06828380050362218
'Beja', 0.10785404018337073
'comida tradicional Alentejana', 0.1160040912979644
'deliciosas migas Alentejanas', 0.1160040912979644
'tradicional Alentejana', 0.1454421927563332
'migas Alentejanas', 0.1454421927563332
'Aconcelhas', 0.1598989840976793
'restaurante', 0.1598989840976793
'Optima comida tradicional', 0.2275833119044733
'Alentejana', 0.23502168474992577
'venha', 0.2528223833133507
