Expressão, Frequência
'restaurante da cidade', 0.01747509953455014
'comida diz respeito', 0.01747509953455014
'melhor restaurante', 0.02414075901020373
'qualidade da comida', 0.02414075901020373
'cidade', 0.11186654715268884
'respeito', 0.11186654715268884
'melhor', 0.15353084316509127
'restaurante', 0.15353084316509127
'qualidade', 0.15353084316509127
'comida', 0.15353084316509127
'satisfacao foi total', 0.1755943382560148
'Secretos com migas', 0.17857797960742874
'sopas de cacao', 0.17857797960742874
'cozido de grao', 0.17857797960742874
'agradavel e saboroso', 0.2289290869692944
'passarmos por Beja', 0.28787381913062204
'Beja com tempo', 0.28787381913062204
'tambem sao', 0.3023251102451721
'sericaia', 0.3332818045696117
'pudim', 0.3332818045696117
'Comida de qualidade', 0.050888965170882816
'tipicamente alentejana', 0.050888965170882816
'ambiente familiar', 0.0934346755383478
'Comida', 0.2200560909321288
'qualidade', 0.2200560909321288
'tipicamente', 0.2200560909321288
'alentejana', 0.2200560909321288
'familiar', 0.2200560909321288
'ambiente', 0.38831292435681075
'Proprietaria', 0.4949246952252326
'atenciosa', 0.4949246952252326
'Proprietaria bastante simpatica', 0.5162806230574593
'simpatica e atenciosa', 0.5162806230574593
'Precos em conta', 0.5286731219590494
'Precos', 0.5880798524606783
'conta', 0.5880798524606783
'simpatica', 0.68796622281612
'voltei a ligar', 0.021755975441539236
'comeco pela simpatia', 0.02476415147377565
'simpatia ao reservar', 0.02476415147377565
'chegada que nao', 0.02476415147377565
'ate eu chegar', 0.02476415147377565
'chegar esteve comigo', 0.02476415147377565
'comigo ao telefone', 0.02476415147377565
'Cozido de Grao', 0.03549816617434016
'reservar mesa', 0.03601475577267445
'Sopas de Cacao', 0.03760956520437362
'mesa reservada trouxe', 0.04586313945471658
'senhora ate', 0.061850632872822796
'Cacao', 0.08453368083853002
'mesa reservada', 0.09553866813435408
'escolhemos Sopas', 0.10867584544463026
'mesa', 0.11181106229997523
'Grao', 0.11781729764639333
'rua', 0.13697194096547013
'voltei', 0.13697194096547013
'indicacoes', 0.13697194096547013
'Espaco pequeno', 0.0565406034156422
'Espaco', 0.23133275159292982
'pequeno', 0.23133275159292982
'acolhedor', 0.23133275159292982
'Staff', 0.5110573480904945
'disponiveis', 0.5110573480904945
'Staff simpaticos', 0.5590489604659448
'simpaticos e disponiveis', 0.5590489604659448
'tipica alentejana', 0.5732105463588063
'Entrada', 0.6036200563782421
'tipica', 0.6036200563782421
'alentejana', 0.6036200563782421
'Prato', 0.6511101154454433
'sal', 0.6511101154454433
'simpaticos', 0.7016498766455139
'principal', 0.8076562869538214
'dose', 0.8076562869538214
'Prato principal', 1.109140327234087
'principal com dose', 1.8761143471562864
'Otima comida', 0.020818845797234226
'comida e atendimento', 0.030803441134664936
'Otima', 0.11797671014185607
'filho', 0.11797671014185607
'Precos justos', 0.1539412127363319
'comida', 0.17286683788205306
'atendimento', 0.17286683788205306
'Muita simpatia', 0.1946260830057487
'Precos', 0.3171947781126727
'qualidade', 0.3171947781126727
'Muita', 0.4036310100959565
'simpatia', 0.4036310100959565
'voltaremos', 0.4036310100959565
'justos', 0.4205766817284309
'Comida saborosa', 0.02140921543860024
'Comida', 0.1447773057422032
