Expressão, Frequência
'Pessimo atendimento', 0.016929586460566654
'devidamente fardado', 0.02212979347581708
'simpatico e nenhum', 0.028972840245920325
'nenhum dos funcionarios', 0.028972840245920325
'funcionarios estava devidamente', 0.028972840245920325
'vaca parecia palha', 0.06994388312601726
'gerente nao', 0.08013820968231172
'parecia o gerente', 0.10970310684344478
'homem que parecia', 0.1097031068434448
'Pessimo', 0.1290261484682479
'atendimento', 0.1290261484682479
'fardado', 0.1290261484682479
'vaca parecia', 0.1331907065834761
'parecia palha', 0.1331907065834761
'parecia', 0.14268728382558424
'nao', 0.14738234819864304
'qualquer molho', 0.16267909702600744
'homem', 0.1678006272915114
'gerente', 0.1678006272915114
'simpatico', 0.1678006272915114
