Expressao, Frequencia
'Restaurante humilde', 0.02541909697430123
'servida e saborosa', 0.02541909697430123
'humilde e modesto.Comida', 0.04188746641162499
'modesto.Comida bem servida', 0.04188746641162499
'Restaurante', 0.12363091320521931
'saborosa', 0.12363091320521931
'contudo por volta', 0.18075564686791562
'humilde', 0.2005079697193566
'modesto.Comida', 0.2005079697193566
'servida', 0.2005079697193566
'varios pratos', 0.2766850298235749
'volta das 13:00', 0.2766850298235749
'13:00 ja nao', 0.2766850298235749
'contudo', 0.32883716426354986
'disponiveis', 0.32883716426354986
'varios', 0.46553351027698087
'pratos', 0.46553351027698087
'volta', 0.46553351027698087
'13:00', 0.46553351027698087
'nao', 0.46553351027698087
