Hotel,Estrelas,Avaliações,Preço
Pousada Convento Beja,"4,5 de 5 bolhas",751 avaliações,100
Vila Galé Clube de Campo,"4,5 de 5 bolhas",917 avaliações,99
Herdade dos Grous,"4,5 de 5 bolhas",229 avaliações,130
Hotel Bejense,4 de 5 bolhas,192 avaliações,63
Herdade do Vau,"4,5 de 5 bolhas",76 avaliações,85
Herdade Da Diabroria,4 de 5 bolhas,54 avaliações,76
Hotel Melius,4 de 5 bolhas,90 avaliações,75
BejaParque Hotel,"3,5 de 5 bolhas",159 avaliações,80
Hotel São Domingos,4 de 5 bolhas,135 avaliações,55
Maria`s Guesthouse,5 de 5 bolhas,7 avaliações,85 81
Hotel Santa Bárbara,4 de 5 bolhas,62 avaliações,59
Beja Hostel,"3,5 de 5 bolhas",35 avaliações,50
Império romano guest house,"4,5 de 5 bolhas",5 avaliações,67
Guest House Stories,5 de 5 bolhas,1 avaliação,50
Monte Das Beatas - Alojamento Local,5 de 5 bolhas,1 avaliação,50
Hospedaria Santa Maria,3 de 5 bolhas,6 avaliações,36
Aljana Guest House,"4,5 de 5 bolhas",0 avaliações,99
Sesmarias Turismo Rural & SPA,5 de 5 bolhas,113 avaliações,90
Monte da Floresta B&B,"3,5 de 5 bolhas",19 avaliações,80 76
Casa de Pedrogao,4 de 5 bolhas,28 avaliações,54 51
Hotel Santa Clara,5 de 5 bolhas,32 avaliações,58
Herdade das Barradas da Serra,5 de 5 bolhas,229 avaliações,125
Paradise In Portugal,5 de 5 bolhas,407 avaliações,79
Villa Extramuros,5 de 5 bolhas,186 avaliações,
Albergaria Do Calvario,5 de 5 bolhas,2 286 avaliações,
