Restaurante,Tipo,Preco
Adega Tipica 25 de Abril,"Alentejana, Portuguesa",25
Dom Dinis,"Bifes, Portuguesa",30
Sushi Alentejano,"Sushi, Japonesa",35
Herdade dos Grous,"Contemporanea, Portuguesa",60
Pulo do Lobo,Portuguesa,25
Bar Parque da Vila Beringel,"Snacks, Bebidas",12
Figa's,"Pizza, Italiana",25
Cervejaria Portugalo,"Portuguesa, Bebidas, Petiscos",25
Entre Arcos,"Portuguesa, Grelhados",25
Aperitivo,"Bebidas, Portuguesa",20
O Arbitro,Portuguesa,25
Cafe Central,"Snacks, Bebidas, Portuguesa",15
Gatus Cervejaria Alentejana,"Alentejana, Portuguesa, Marisqueira",25
Hamburgueria da Avenida,Hamburgueria,25
Casa de Pasto O Forno,"Snacks, Bebidas, Portuguesa",12
Tennis Courts Club,Portuguesa,25
Cervejaria Mira Serra,"Marisqueira, Portuguesa",40
Espelho d'Agua,Portuguesa,25
TEM Avondo,"Portuguesa, Alentejana",25
Menau,Portuguesa,25
Toy Farois,"Portuguesa, Grelhados",25
Taberna A Pipa,"Alentejana, Portuguesa, Petiscos",25
Pizzeria Milano,"Pizza, Italiana, Portuguesa",25
Dona Maria Deck,"Portuguesa, Petiscos, Snacks",25
O Alemao,"Portuguesa, Petiscos, Alentejana",25
Deliciosa Alvorada,"Portuguesa, Alentejana",25
Moments IPDJ,Portuguesa,20
Bar Regional,"Bebidas, Snacks",6
Sushizzaria,"Sushi, Hamburgueria, Pizza",30
Intimo,"Pizza, Italiana",25
Peter Brissos,Portuguesa,30
Adega do Castelo,"Alentejana, Portuguesa",30
Gelateria Luiggi,"Gelados, Snacks, Bebidas",8
Espelho d'Agua,Portuguesa,25
TEM Avondo,"Portuguesa, Alentejana",25
Toy Farois,"Portuguesa, Grelhados",25
Dona Maria Deck,"Portuguesa, Petiscos, Snacks",25
O Alemao,"Portuguesa, Petiscos, Alentejana",25
Deliciosa Alvorada,"Portuguesa, Alentejana",25
Moments IPDJ,Portuguesa,20
Bar Regional,"Bebidas, Snacks",6
Intimo,"Pizza, Italiana",25
Peter Brissos,Portuguesa,30
Gelateria Luiggi,"Gelados, Snacks, Bebidas",8
Lana Caprina,"Portuguesa, Alentejana, Petiscos, Snacks",25
Pinga Amor,Snacks,8
Luiz da Rocha,"Alentejana, Portuguesa, Pastelaria, Snacks",25
A Muralha,"Portuguesa, Alentejana",25
O Chaparral,Portuguesa,25
Casa do Povo,"Snacks, Bebidas",8
A Estalagem,Portuguesa,25
Aguarela Caffe,"Bebidas, Snacks",8
Pe de Gesso,"Portuguesa, Marisqueira",30
Vinhos e Petiscos,Portuguesa,25
The Pub - Sports Caffe,"Bebidas, Snacks, Portuguesa",20
Raposo,Portuguesa,25
Cafe Caixinha,"Snacks, Bebidas",8
Cafe Retiro dos Cacadores,"Snacks, Bebidas",8
Sabores do Campo,"Vegetariana, Comida saudavel, Sobremesa, Pastelaria, Snacks",25
Nova China,Chinesa,25
Taberna do Engenho,"Portuguesa, Alentejana",25
Valentino,"Indiana, Italiana, Pizza",25
Talego Cafe,Snacks,8
Primus Coffee,"Snacks, Pastelaria",8
Cervejaria Gazela,"Snacks, Portuguesa",12
