sentiment,review
positive,Construção Romana
positive,Um portal construído pelos romanos. Parte interessante e muito constante nas construções antigas da cidade.
positive,Arco romano
positive,"Muito bom. Alias, a maioria das construções antigas são da época romana. Aconselho uma visita. Compensa."
positive,"Antiga porta de Évora, dava acesso ao interior das muralhas a quem vinha no Norte."
positive,Junto tem uma antiga casa-da-guarda onde seria feito o controlo dos passantes. Colado à muralha do castelo interior.
positive,Simples mas bonito
positive,"Muito bonito e simples. Enquanto passeia à volta das muralhas do castelo, passe por lá. Vale a pena!"
positive,Porta interessante
positive,"Porta semi destruída mas com vestígios interessantes e que merece um olhar, embora não esteja muito bem cuidada."
positive,Bonita
positive,"A Porta é bonita, mas já precisava de algum trabalho de limpeza e recuperação!"
positive,a relva dos jardins precisava de ser cortada...
positive,História e atualidade
positive,Muito bem preservado e enquadrado. Com enquadramento muito acolhedor e aprazível. Bom para fotos e para apreciar
positive,Arco Romano no caminho
negative,Rodando o centro histórico de Beja você fatalmente passará por este Arco Romano. Um privilégio para poucos.
positive,Arco romano anexado ao Castelo de Beja de um lado
positive,"Se estiver na zona do Castelo de Beja, encontrará facilmente este arco romano no lado antigo da cidade (alto) do castelo. Tem acesso 24/7 através de uma calçada pública irrestrita, entre o castelo e a estrada. É um bom local para tirar uma foto. Eu não vi nenhuma informação postada nas proximidades, o posto de turismo nos terrenos do castelo pode dizer-lhe mais."
