sentiment,review
positive,"A experiencia foi simplesmente incrível. O espaço é maravilhoso, uma vista deslumbrante para qualquer local onde se olhe: seja a vista para a barragem, que parece um oásis no meio de toda a paisagem alentejana, seja para os jardins com árvores e flores mil. A água é quente e calma, tem canoas e paddles à disposição para passear pela barragem ou apenas apanhar sol ao gosto do movimento da água. As refeições são super variadas e apenas deliciosas! Feitas com ingredientes locais ou até cultivados lá, e atendem às restrições dietéticas dos hospedes. Quando a comida está pronta para ser servida, somos chamados pelo som de um bongo que se ouve em qualquer local da quinta.  Por fim, as pessoas. O atendimento é incrível, todos são super simpáticos e atenciosos, senti-me em casa - sem"
positive,"Fomos sem expetativa muito alta e acabámos deslumbrados.  Bem, não sei onde começar. É incrível!!! Tudo!!!! São árvores de todas as espécies para chamar todo o tipo de pássaros (paixão do Frank, o proprietário); são flores mil, quartos rústicos e especialmente pitorescos; é uma agua da barragem quentinha; é uma vista que só visto!!! E é uma simpatia de casal!!! Muito atenciosos, pacientes e ótima cozinheira!!! As refeições são feitas com muitos dos produtos que eles próprios cultivam. É giro que as refeições sejam feitas com todos os hóspedes que quiserem e tiverem marcado, ao mesmo tempo após o som do gongo. Isso mesmo, de um gongo.  Na barragem podemos utilizar uma SUP ou canoa e dar uma volta e mandar uns mergulhos e trambolhões.  Adorámos!!! É de voltar!!!"
positive,"A Quinta é incrível.  A vista da barragem é maravilhosa. A água é quente e a disponibilidade de paddle e canoas torna a experiência muito divertida.  O serviço é excelente e a comida é a melhor parte. Todos os dias servem refeições orgânicas e bastante variadas,é impossível não gostar.  A possibilidade de ter cães é outro ponto muito positivo para quem não quer deixar os seus companheiros em casa.  Por último, as pessoas. Todos os funcionários eram muito simpáticos e atenciosos, definitivamente tornaram a estadia muito agradável.  Merecem 5 estrelas."
positive,"Este sítio é muito bonito a comida é fantástica e o facto de podermos ir nadar na barragem torna-o ainda melhor a vista é incrível e é um lugar muito relaxante, mas os colchões dos beliche não são nada confortáveis."
positive,"Fica no meio de nada e próxima das aguas da barragem de Santa Clara  Lugar onde impera a paz e a calma, nem poderia ser de outra forma pois neste local a TV não existe, o telemóvel nem sempre tem rede, mas não estamos fora do mundo pois a rede de WI-FI e boa. Não vejo que seja uma desvantagem mas sim uma vantagem pois permite o relacionamento pessoal. Tem um pequeno ancoradouro com canoas, stand up paddle e barcos e possibilita uns mergulhos no rio, com uma agua quentinha Fizemos as refeições la, porque para sair são 4km de terra batida.A Comida é boa mas o preço cobrado é excessivo. A higiene é cuidada quer nos quartos quer no espaço de alimentação. Á noite as estrelas têm um brilho que só ali podemos ver."
negative,"Há já três anos que não passo sem visitar este pequeno e viciante paraíso,  normalmente passo 2/3 noites neste local mas saio sempre completamente revitalizada e com a sensação que estive muito mais tempo neste local mágico. Aqui  sentimos-nos muito perto da natureza, Não temos televisão nem frigo-bar no quarto, mas temos umas instalações muito confortáveis e acolhedoras , um grande saber receber e uma bela piscina isto é a Barragem de Sta. Clara onde a água é mais quente do que no mar. Termos ao nosso dispor kayaks, prancha de stand up paddle e barcos para uso sem qualquer custo adicional é um ponto a favor. Imperdíveis são os jantares ás 20 h em ponto, a comida deliciosa feita na hora pela mão da Daniela, o facto de sentarmos-nos todos na mesma mesa (quase sempre com"
positive,"Um lugar maravilhoso com paisagem deslumbrante, o facto de não se ter rede de telefone torna-se um privilégio que permite um maior convívio entre os hospedes, com a natureza, óptimo para descansar e relaxar. A nível das refeições o preço/qualidade é mau, dado que não escolhe as refeições,o preço é caríssimo para o que servem, sendo que se quiser ir jantar fora o restaurante mais próximo fica a 20 km dos quais 4km em terra batida sem iluminação e com alguns pontos muito íngremes de estrada"
positive,"Um local único e mágico, onde nos sentimos únicos e especiais, a envolvencia do local, de quem nos recebe, todo o requinte das refeições faz com que queiramos voltar e voltar e voltar.... Acabamos por sentir que fazemos parte daquele local!  Adoramos Obrigada Mark, Da Fatima, e Da Dulce e Daniela, mesmo não estando durante a nossa estadia, foi ela que nos acolheu no primeiro contacto.  Voltaremos em breve Cláudia & Nuno - Junho 2015"
negative,"Ótimo espaço, vista deslumbrante, quartos acolhedores, hospitalidade de todos, incluindo dos animais, desportos aquáticos... Um verdadeiro paraíso! Perfeito para quem tem animais e gosta de andar à vela :)"
positive,A Quinta do Barranco da Estrada é realmente um Paraíso em Portugal.  O Frank e a Daniela oferecem aos seus hóspedes um ambiente familiar e acolhedor.  Os jantares em grupo são uma óptima maneira de termos um serão animado. A Quinta do Barranco da Estrada é o sitio ideal para relaxar fora da confusão da cidade e da praia. Esperamos voltar em breve! :o) Elisabete e André
positive,"Adorámos a nossa estadia, o Frank e a Daniela são muito simpáticos. Adorámos os jantares e almoços em conjunto, parece que estamos em familia, a comida é simplesmente maravilhosa, senti-me como um júri do concurso masterchef, os quartos são muito acolhedores também. Na barragem podemos usufruir de kayaks e gaivotas. Apesar de não haver televisão existe internet, mas não é muito rápida. O Frank e a Daniela disponibilizam vários livros, dos que vi nenhum em português, aconselho a levar algo para ler, seja livro ou revista, há vários sitios para os desfrutar, seja perto da água ou no jardim."
positive,"Neste local de grande tranquilidade, somos esmagados pela beleza da paisagem e , em paralelo, nao existem momentos de aborrecimento .. O lago, os barcos, os anfitriões ..  Foi uma surpresa os jantares em conjunto, todos os hospedes e anfitriões a mesma mesa, numa troca de vivências, de nacionalidades, que se prolonga até aonde a nossa conversa o desejar. Um extra : massagem shiatsu da Daniela .. Um relaxe perfeito para um lugar perfeito. A regressar no inverno para ver a chuva cair no lago através da janela rasgada da sala"
negative,"A partir de uma pesquisa de última hora na internet contactei a Daniela por telefone e desde esse breve contacto senti que a família estava a ser  bem-vinda na casa de Daniela e Frank. Estivemos lá um único dia...mas sentimos um calor e uma vontade de ficar hipnotizadora: seja pelo espaço, seja pela espectacular paisagem, a calma e sossego, seja pelas familias e pessoas que lá estavam hospedadas, seja pelo agradável periodo de refeições em família na fantástica sala/comedor... na mesma mesa hóspedes e staff!!! :-) , seja pelos caes, seja pelo charlatão de Harry ( o papagaio), pelo simpático e prestável staff, seja pela Daniela que mima a cada um dos hóspedes com uma atenção e olhar de amigo de veras que acolhedor e difícil de encontrar... Voltaremos?, sem dúvida. Recomendamos?"
positive,"Lugar onde nos reencontramos na profundidade do que somos, do que pensamos ser ou do que gostaríamos de ser. Um recanto onde encontramos a paz interior. Quando lá chegamos, deixamos para trás tudo o que queremos deixar, sobretudo aquilo que perturba o nosso espírito e no reencontro com a Natureza, abraçamos a vida. Caminhar é apreciar a plenitude das redondezas, num sobe e desce, em que o verde, o castanho e o azul são o cenário num registo quase único. A paisagem sobre a barragem de Santa Clara domina o ambiente e a serenidade das suas águas envolve-nos os sentidos. As aves fazem-nos companhia e os seus voos fazem-nos pensar sobre a importância em traçar um rumo... O ambiente é muito acolhedor, uma família feliz que partilha connosco a sua rotina diária, sem esquecer Harry, o"
positive,"A quinta do barranco da estrada(paradiseinportugal) é sem dúvida um sítio muito especial. Consegue aliar  conforto com protecção à natureza, simpatia dos proprietários com espaço livre, convivio com introspecção. Num local tão isolado como este, é fantástico ver o esforço feito pelo staf para que tudo funcione tão bem, o que me agradou bastante.  Um dos momentos que mais me marcou foram sem dúvida as tertúlias, que acontecem à hora de jantar.À interculturalidade à volta de uma mesa de jantar onde todos participam e onde podemos partilhar ideias e ideais, é a cereja no topo do bolo. Após um dia de descanso a contemplar todp O verde que nos rodeia e entre um mergulho e um bom livro o que mais desejamos, uma excelente refeição e dois dedos de uma boa conversa (acompanhado com um"
positive,"De qualquer parte de Portugal se vai de carro, com estradas boas e paisagens de tirar o fôlego, tranquilas e com o sol a nos acompanhar por toda a viagem... e na chegada o melhor ainda nos espera!Ótima comida,boa disposição e uma vista esplendorosa e para os amantes dos animais a recepção é calorosa. Voltarei de certeza, vale a pena!"
positive,"Sem dúvida um verdadeiro paraíso...dificil de descrever pela dimensão de bem estar que lá encontramos. Recomendamos a visita qualquer pessoa, lá encontramos familias de diferentes nacionalidades e até pessoas sozinhas em busca da paz e de energias positivas. Os proprietários são pessoas simples com o amor, a simplicidade e o respeito estampado no rosto. Estivemos apenas dois dias que deixaram enormes saudades...Um sitio encantador onde o verdadeiro sgnificado da vida é transmitido em cada canto da quinta. Aproveitamos para deixar um enorme beijinho para duas princesas que lá conhecemos e que recordamos diáriamente ( Flora e Carolina). Não deixem de visitar, não só pelo prazer de desfrutar da Natureza mas também pela lição de vida que de lá irão tirar...Frank, Daniela, Flora e"
positive,"Que super localização para umas férias de outono. . . a Quinta fica no meio de sua paisagem natural e pacífica, com vista para as águas azuis de um enorme lago. Um verdadeiro jeito - de - tudo. . . mas mantendo todos os confortos de casa! Nascer do sol maravilhoso, super comida - obrigado Daniela, clima perfeito - 24, vinhos portugueses e vida selvagem. . . mesmo nesta época do ano - no final de outubro, grandes pássaros para avistar - obrigado Frank, borboletas e lontras! ! ! O lago é lindo para nadar ou pegar um dos caiaques para passear por esse trecho de 25 milhas. Eu certamente recomendaria este destino. . ."
positive,"Esta foi a nossa terceira visita à Quinta e sempre foi um grande prazer. De qualquer forma, foi melhor desta vez, em parte porque também viemos com quatro amigos porque, pela primeira vez, nos envolvemos em uma das expedições de observação de pássaros de Frank - uma exploração durante todo o dia, a partir das 5. 00:00. Éramos bastante ingênuos nessas questões e ainda temos quase tudo a aprender - mas era óbvio o suficiente que a viagem foi excelente.   A Quinta é um lugar extraordinário: é seriamente bonita, tranquila e relaxante e, acima de tudo, um lugar contagiante para se estar. Também não há nada animador nesse contentamento: é uma reação natural a ambientes encantadores, quartos confortáveis, a excelente comida de Daniela, excelente companhia - e, não menos importante, uma"
positive,"Ótima localização para relaxar. Minha terceira visita para uma ótima observação de pássaros e companhia com Frank. O jantar de Daniela foi maravilhoso e muito saboroso. Acorde cedo para receber ofertas excepcionais, incluindo Great Bustard, Golden e Bonelli's Eagles e muito mais."
positive,"Meu parceiro Steve e eu acabamos de voltar de cinco dias incríveis neste lugar.  Voamos para Faro e foram 90 minutos de carro até o Paraíso em Portugal.  O resort (parece a palavra errada, pois não é de todo comercial) fica por uma longa estrada particular que se abre para uma bela vista do lago.  Tivemos um quarto Kingfisher e a vista era incrível. Imagem adicionada abaixo.  Daniela e Frank são tão acolhedores que parecem um incrível lar longe de casa, com café da manhã, almoço e jantar em oferta. Eu recomendo que você pegue! A comida é tão lindamente caseira, e as refeições em comum tornam a noite divertida e interessante. A sala de jantar também tem uma grande janela com vista para o lago.  Os vinhos oferecidos são todos bons e com preços razoáveis.  Eu não recomendaria"
positive,"Esta foi a minha primeira visita a Portugal e este foi um dos destaques. Frank e Daniela são anfitriões muito gentis; A comida de Daniela é excelente, os quartos são básicos, mas muito agradáveis e o cenário é espetacular.  Minha principal razão para vir aqui foram os pássaros, e não fiquei desapontado. Tanto Frank como Tony são muito instruídos e me deram muitos bons pássaros e também foram uma ótima companhia.  As refeições comuns são um prazer, pois são mais uma refeição em família oferecida por Frank e Daniel, com pessoas de todas as esferas da vida compartilhando suas experiências.  Só posso recomendar este lugar e espero sinceramente poder voltar."
positive,"Tivemos uma semana brilhante na Quinta. Frank e Daniela nos fizeram sentir bem-vindos desde o início. O quarto era simples mas acolhedor. É tão bom que não há TV! Os jardins eram exuberantes com o cheiro de jasmim, e havia muitos lugares para se sentar e apreciar a vista e o sol. O espaço de ioga ao ar livre veio muito útil no período da manhã para uma prática rápida. Depois, um mergulho no lago. Nós amamos a comida - absolutamente tudo isso! Café-da-manhã, almoço e jantar foram todos delicioso. As refeições em uma mesa comunitária facilitaram conversas interessantes com outros hóspedes. Nós fomos em uma viagem de birdwatching de um-dia com Frank que estava pasmando. Para nós vagarosos observadores de pássaros era talvez um pouco demais - nós normalmente não sairíamos em uma"
