sentiment,review
positive,"O restaurante é self-service e o preço é por peso do prato. Há 3 refeições do dia e várias opções de saladas, quiches, croquetes e sobremesas. Também há sumos naturais. Vou muitas vezes e nunca desilude! A comida é deliciosa e a relação qualidade/preço boa. Recomendo."
positive,"Fui lá porque sou vegetariana e celiaca,  entrei e perguntei o que poderia comer dali que fosse completamente sem gluten, o rapaz que estava a servir não tinha essa informação,  foi à cozinha perguntar e da cozinha informaram quais eram as opções que eu poderia comer, pedi mediante o que me disseram,  comi o prato principal e quando passei para a sobremesa comecei a sentir uma parte mais crocante e com um sabor que eu nunca tinha comido, nada de mal até aí,  até eu começar a tirar as natas de cima da sobremesa e reparar que aquela sobremesa tinha bolacha Maria. Levantei-me, fui confirmar com o funcionário e confirmaram-me que realmente era bolacha com gluten. Não sei qual é a formação que têm naquela cozinha, só sei que comi metade de uma sobremesa ao qual perguntei antecipadamente se tinha glúten, disseram que não,  confiei,  comi e agora estou a passar muito mal em casa e terei que ir ao hospital por brincadeiras destas. É uma falta de noção e despreocupação por pessoas que realmente não podem comer e são intolerantes a certos alimentos. Se querem ter um restaurante com uma placa a dizer 'apropriado para vegetarianos e comida sem glúten' então sf tirem um curso do que significa realmente essas restrições alimentares! Um restaurante pra nunca mais voltar muito menos recomendar! Tenham cuidado quando lá voltarem a comer porque confiar no staff está fora de questão. NÃO SE BRINCA COM A SAÚDE DE NINGUÉM."
positive,"Amei a refeição, é sempre bom para quebrar os tabus nós mesmos tirarmos as nossas próprias conclusões.. procurei algo de boa aparência (pois a higienização conta muito) e relativamente em conta, e encontrei! Tem ainda boa comida é uma simpatia que agrada a qualquer um. Super recomendo!"
positive,"Optimo opção ao almoço, leve, sem gorduras ou fritos. Comida Vegan, vegetariana e Saudavel. Voltarei sempre"
positive,"Tem ótimas opções, muita variedade de comida e toda muito boa. Existem os pratos principais, saladas para acompanhar, salgados, pastéis...e muito mais. Até podemos desfrutar de uma deliciosa sobremesa  Um local espaçoso e agradável para almoçar. Os preços são razoáveis. O único defeito é não ter café"
positive,"Restaurante vegetariano com variedade de pratos, bom preço. Sobremesas e suco. Pães.  Tudo muito gostoso e fresquinho.  Ambiente arejado."
positive,"Restaurante muito informal com comida vegetariana deliciosa e muito variada,sempre elaborada com produtos frescos. Os proprietários e empregados são bastante simpáticos o que torna o restaurante num espaço familiar."
negative,"Olá boa noite. Gostaria de saber quem está a gerir a “ página” do restaurante no tripadvisor. É no mínimo estranho o que se está a passar. Pois sei que não é nenhum dos donos. Agradecia que respeitassem o trabalho, de quem trabalha."
positive,"É um restaurante de comida vegetariana, muito agradável, bom ambiente musical, e espaço muito moderno e saudável. Recomendo vivamente"
negative,"O Sabores do Campo é um restaurante familiar que serve comida vegetariana. Passei muitas vezes por este restaurante e não entrava por pensar que a comida vegetariana era toda igual e sem sabor. Posso dizer, que depois de experimentar, este tornou-se a minha primeira opção quando vou comer fora. Tem bastante variedade de entradas, frutas, acompanhamentos, sobremesas e normalmente são dois ou três pratos principais por dia. O restaurante é self-service, para quem é como eu e gosta de experimentar pode tirar um pouco de tudo e paga-se ao peso. Tem serviço de take away. Tem página no Facebook onde podem ver os pratos do dia."
positive,"Comida deliciosa, muito bem confecionada e apresentada. As sobremesas sao surpreendentes pelo aspecto e sabor. O ambiente e informal mas com muito boas energias. Mae e filho são uma simpatia."
positive,Grande variedade e muita qualidade. Espaço luminoso e com muito boas energias. Sabores deliciosos e muita simpatia.
negative,"Embora se trate de um restaurante self-service a qualidade é muito boa. Os produtos são de qualidade e muito bem confeccionados. Óptimo para todos, não só vegetarianos. A comida é muito saborosa e com muita variedade. Fruta fresca e sobremesas... deliciosas."
positive,Adoramos a comida! É ao peso mas não fica caro. Fomos lá almoçar todos os dias durante uma semana e os pratos eram sempre variados.
positive,"Achamos este restaurante por acaso, ao sair, a pé, do Parque Gago Coutinho e Sacadura Cabral. Para quem gosta de comida vegetariana é ótima opção, com razoável variedade e boa qualidade. O sistema é self-service na balança, não tão comum em Portugal, ao que percebi. Paramos aqui em nossa viagem para o Algarve a partir de Vora. A comida é em estilo buffet, onde você paga em peso o seu prato. Embora nem tudo seja vegano, tivemos tantas opções para escolher. Nós amamos isto. Eu gostaria de saber como fazer o prato de lentilha e feijão também. Tudo estava delicioso"
positive,"Nice, pequeno restaurante self - serving vegetariano com diversas opções saborosos que apelarão a (quase) todos. Tem a possibilidade de comer em casa ou levar embora. Também tem uma nova seção de biscoitos e bolos para tirar."
positive,"O Alentejo não é exactamente o melhor lugar em Portugal para os vegetarianos, por isso este hotel em Beja é uma raridade! Muitas opções de escolha, pago pelo peso, a comida era muito boa e você também tem sumos frescos e sobremesas. Funcionários simpáticos e prestativos. Bom valor."
