,Avaliações
0,"O caminho para lá chegar 🙁
"
1,"As refeições, o staff, o local calmo e lindíssimo 😍
"
2,"Embora se trate de um espaço rural, poderia haver um maior cuidado com a limpeza dos quartos e dos apartamentos. 
Poderia haver uma maior generosidade com as amenities nos wc's. Presumimos que se tivéssemos pedido mais, nos teria sido fornecido, mas o quarto apenas tinha  uma bolsa de gel duche e outra de shampoo e 2 sabonetes, o que nos  parece pouco para 2 pessoas, e não tinha secador. Foi-nos dito posteriormente que teríamos que o solicitar.
"
3,"A simpatia dos funcionários, com um ambiente familiar,
O bom gosto e sentido prático tanto dos quartos como dos espaços comuns. Bem decorado, acolhedor, com o aspecto rústico e nobre que se espera numa herdade alentejana bem cuidada,
O conforto, com todas as comodidades necessárias,
A política de honesty bar, 
O pequeno almoço, com qualidade e generoso, do qual temos que destacar o sumo de laranja natural,
A localização, no meio de campos de oliveiras e vinhas pertíssimo do rio Guadiana.

"
4,"Gostei do peq.. almoço.
"
5,"Acessos um pouco complicados 
"
6,"Herdade muito bonita, com ótimas condições e staff bastante acolhedor e disponível 
"
7,"Herdade muito bonita e confortável, de muito bom gosto, excelente para descansar. Funcionários muito solícitos e simpáticos! A repetir, sem dúvida!
"
8,"O quarto, apesar de espaçoso e limpo, era bastante mais simples e austero do que as fotos divulgadas no Booking. A água da piscina parecia algo 'amarelada'. Estrada/caminho de acesso à propriedade muito difícil.
"
9,"Funcionários muito simpáticos e prestáveis. Produtos locais e de qualidade servidos ao pequeno-almoço. Tranquilidade e sossego do espaço envolvente. Vista muito agradável em redor da propriedade.
"
10,"nada a apontar
"
11,"De salientar toda a atenção, disponibilidade e carinho que nos recebeu o Sr Luís Fialho, tornando o meu aniversário ainda mais especial, muito obrigada!
"
12,"A parte menos boa é sem dúvida as abelhas na piscina, de manhã não há problema mas por volta das 10h/11h já se torna um pouco incomodativo. Poucas espreguiçadeiras para o numero de pessoas na herdade. 
"
13,"Espaço super agradável, a herdade é encantadora. Super bem decorada, cada cantinho tem o seu encanto. 
"
14,"Um espaço um soberbo, muito bem decorado e com um excelente vinho. 
"
15,"os acessos são maus, mas infelizmente é da competência da CM Beja arranjá-los
"
16,"Pequeno-almoço óptimo Localização excelente para descansar do stress do trabalhoProva de vinho com o proprietário foi uma autentica aula de enologia. Excelente. RecomendoVinhos da herdade excelentes e jantares caseiros óptimos !Sem WIFI nos quartos e piscina. Para nós é uma vantagem. Tragam um livro e relaxem na natureza !
"
17,"- O caminho em muito mau estado de 3,5km até ao local. Torna-se chato, sobretudo, porque não existem muitas opções de alimentação na Herdade durante o dia, por isso, é inevitável termos que sair e fazer esse caminho duas vezes por dia
- Falta de alguns pormenores no quarto e exterior que podiam tornar o local mais prático e confortável. Como sugestão de melhoria: sombras na zona da piscina, mesas de apoios no quarto para pousar objetos perto da cama, produtos de higiene de banho em embalagens mais práticas e eco friendly, copos para as escovas de dentes
"
18,"- Tranquilidade
- Piscina
- Simpatia e disponibilidade dos funcionários 
- A Herdade fica numa zona muito bonita, perto do Guadiana
"
19,"Local extremamente relaxante 
Possibilidade de estar sempre acompanhada pela minha cadela 
"
20,"Pequeno almoço simples mas bom. Boa localização no meio do campo e do rio Guadiana, mas perto de Serpa e Beja que merecem uma visita. Simpatia do staff
"
21,"Prova de vinhos,
Vista,
Tranquilidade, 
Espaço
"
22,"De tudo! Muito particularmente do acolhimento, conforto e da satisfação de todos os pedidos que realizei e que transformaram a estadia num fim-de-semana único.
"
23,"O preço aplicável para jantar (opcional) é elevado especialmente se a pessoa tiver restrinções alimentares (por examplo, vegetariana). Super agradável jantar na Herdade ao ar livre, talvez incluir uma outra outra opção de jantar, talvez petiscos feitos com produtos regionais, algo mais flexivel, seria uma boa opção.Como fiquei num quarto exterior não tive acesso à internet disponível no local.
"
24,"Ótimo espaço para relaxar e levar animais de estimação. Gostariamos de ter ficado mais tempo e iremos voltar se possível.O frigorífico disponível com bebidas (a serem pagas no final) é uma ótima idea, e dá muito jeito.Para se ficar ""off the grid"" é uma boa opção pois a internet só está disponível na casa principal.
"
25,"Os acessos
"
26,"As entradas do jantar, com tanta coisa boa no alentejo colocar cavala enlatada e chouriço daquele de supermercado parece-me um ponto a melhorar.
"
27,"De tudo! Do espaço da quinta, do jantar (exceto as entradas) e do pequeno almoço. O vinho Riso também é muito bom! Voltarei com certeza
"
28,"Local bastante isolado, bem integrado na paisagem. Bom para descansar.
"
29,"O facto de nao possuir televisão, a internet era muito fraca e o terreno de acesso a propriedade está em muito mau estado e é perigoso a noite, dado que nao está iluminado. Considero o preco excessivo para as condições apresentadas. 
"
30,"Para quem procura um local para relaxar é uma óptima opção, a vista é excelente e tranquilizante. 
A piscina é fantástica e o pequeno almoço muito bom. 
"
31,"A estrada de acesso
"
32,"Staff muito atencioso e simpático, vinho muito agradável e um óptimo pequeno almoço. A vista é desafogante e anti-stress.Bom local para relaxar sem televisão e com internet apenas no espaço comúm.
"
33,"Cama péssima
"
34,"Muito bom pequeno almoço
"
35,"Local perfeito para descansar, herdade muito bem cuidada e com bom gosto, pequeno almoço simples com produtos de qualidade, diversos espaços de lazer. 
"
36,"Marcámos por acaso numa viagem pelo Alentejo. Uma surpresa fantástica. Uma herdade antiga recuperada com imenso bom gosto, a dois metros do Guadiana (onde, a 10m a pé, conseguimos tomar banho). O Luís, licenciado em turismo e arqueologia, não podia ser um anfitrião mais prestável e interessante. O jantar no exterior, com vista para as vinhas e o vale, entre migas de alheira e provas dos vinhos da herdade, foi toda uma experiência . Vamos voltar no inverno . 
"
