,Attraction
0,Castelo de Beja
1,Museu Regional de Beja (Museu Rainha D. Leonor)
2,Nucleo Museologico
3,Casa de Santa Vitória
4,Igreja de Nossa Senhora Dos Prazeres E Museu Episcopal
5,Ruínas Romanas de Pisões
6,Museu Visigotico--Igreja de Santo Amaro
7,Jardim Gago Coutinho e Sacadura Cabral
8,Sé Catedral de Beja / Igreja de São Tiago
9,Museu Jorge Vieira/Casa Das Artes
10,Porta de Évora - Arco romano de Beja
11,Pelourinho de Beja
12,Igreja de Santa Maria da Feira
13,Igreja do Salvador
14,Igreja da Misericórdia
15,Estátua da Rainha Dona Leonor
16,Igreja do Carmo
17,Ermida de Santo André
18,Igreja de Nossa Senhora do Pé da Cruz
19,Ermida de Santo Estêvão
20,Bairro da Mouraria
21,Janela Manuelina
22,Arcadas da Praça da República
23,Arco das portas de Avis
24,Monumento ao Prisioneiro Político Desconhecido
25,Palácio dos Maldonados
26,Convento de Santo António em Beja
27,Colégio dos Jesuítas de Beja
28,Piscina Descoberta Municipal de Beja
29,Passo da Rua da Ancha
