,Avaliações
0,"A catedral da cidade
"
1,"Igreja imponente, catedral da cidade, sofreu várias obras de reabilitação e melhoramento. Situada frente ao castelo e da zona histórica. Pena não estar aberta para visita a não ser nos horários de culto.
"
2,"Péssimo
"
3,"Uma igreja simples e restaurada não é ponto turístico.Em frente ao castelo,parar aqui só se for curiosidade.
"
4,"Visita importante a fazer
"
5,"Excelente o seu interior. Das mais simples que vi. Retábulo muito bonito. Talha dourada de grande magnitude.
"
6,"Magnifica Sé de Beja
"
7,"Igreja principal de interior magnífico. Talha dourada, altares profundamente decorados, relíquias sagradas...
"
8,"Lindissima!
"
9,"A igreja está muito bem cuidada e é muito bonita.
"
10,"
"
11,"Com várias obras provenientes de Lisboa na sequência do terramoto de 1755, não decepciona quem a visita.
"
12,"Entrada gratuita
"
13,"Retábulo muito lindo!
"
14,"Muito cuidada e com um retábulo de altar divinal! Vitrais e órgão lindos! Merece uma visita. A não perder.
"
15,"Arquitectura simples
"
16,"A Sé Catedral de Beja  tem uma fachada simples mas o seu interior, decorado com painéis de azulejos é muito bonito.
"
17,"Arquitetura original 
"
18,"Para quem conhece as catedrais Portuguesas é possível distinguir esta Catedral de todas as outras, pela sua arquitetura original, mais moderna e leve. A fachada é muito bonita e por dentro tem muitas obras de arte provenientes de Lisboa, no seguimento do terramoto de 1775. A entrada é gratuita, e fica mesmo ao lado do castelo, pelo que se pode juntar a visita aos dois monumentos.
"
19,"Bonita
"
20,"Espaço muito bem conservado e preservado. A entrada é gratuita e fica logo ao lado do castelo de Beja. 
"
21,"Igreja agradável
"
22,"A. Ice igreja e vale a pena uma visita quando a cidade. O alter é muito bom com muita esculturas de ouro.
"
23,"Bela Igreja
"
24,"Esta igreja é muito bonito. Ele está localizado ao lado do Castelo de Beja. É bom para ir visitar e apreciar este elegante arquitectura
"
25,"Adorável de cerâmica e Ouro peças; muitos de Lisboa depois de terremoto
"
26,"Pequena capela mas muito adorável, com alguma arte azulejos azuis realmente nice, aparentemente trazidas de Lisboa após o terramoto de 1755. Existem algumas estátuas e outras obras de Nice em ouro. Vale a pena uma visita.
"
