,Avaliações
0,"Casa bem organizada de forma a acomodar de forma eficiente e conforme as necessidades os diferentes hóspedes. Cozinha e sala de estar partilhada para uns tipos de quarto, privativa noutros. Uma piscina pequenina mas que chega para refrescar no duro calor alentejano. Perto tem vários cafés e supermercado e uma recepção como só os alentejanos sabem dar.  Pequeno almoço variado numa sala de decoração moderna mas acolhedora. Só o Wi-Fi impede de dar as 5 estrelas, fraca cobertura e péssima qualidade de sinal.
"
1,"Local muito tranquilo e óptimo para descansar, simpatia no acolhimento, instalações extremamente limpas e alojamento muito bem recuperado e bem equipado. Pequeno almoço simples mas muito agradável e com muita simpatia por parte da senhora que o preparou.
"
2,"A experiência neste alojamento não foi a melhor, dado que foi marcada uma estadia com 15 dias de antecedência, recebido o email de confirmação da reserva e, quando chegou o dia, a proprietária tinha esquecido de reservar e não tinha mais quartos disponíveis. É certo que resolveu a situação e arranjou outro local para ficarmos, mas a 25 km dali e num sitio que não tínhamos escolhido, apesar de agradável no final. Uma experiência a não repetir.
"
3,"Este alojamento faz parte do leque de opções do pack Fugas 2 Noites da Odisseias. Tive o cuidado de verificar no Booking se o mesmo estava esgotado ou não para as datas que pretendia, uma vez que é um fim-de-semana prolongado e constatei que o alojamento tinha (e tem ainda) dois quartos livres. Uma vez que nas restrições que apresenta no pack não refere fins-de-semana prolongados decidi contactar por telefone para fazer a reserva. Liguei sete vezes em dois dias e nunca atenderam. Procedi então à tentativa de reserva via site Odisseias e recebi como resposta do próprio alojamento ""só depois do dia (dia seguinte às datas pretendidas)"". Enviei um print screen do Booking que mostra a disponibilidade e obviamente não recebi mais nenhuma resposta. Inadmissível esta discriminação numa
"
4,"Simpatia no acolhimento, apartamento muito agradável. Optimo para descansar. Bem equipado, cozinha e pátio para petiscar. Piscina qb para refrescar. Bom pequeno almoço.Boas acessibilidades, facil estacionamento.  Recomendo.
"
5,"Passámos uma noite no local. Quarto razoável face ao preço. Limpeza razoável. Acesso a wi.fi. Zona exterior muito bonita. Cozinha funcional. O pequeno almoço são os hospedes que o fazem. Há pao quente á disposição. De resto, somos nós que confecionamos. Alojamento um pouco ruidoso. Boa relação qualidade/preço.
"
6,"Várias casas e quartos no local. Uma piscina fantástica e um calor que ajuda! Alguns dos quartos partilham cozinha, mas todos tem WC privado. Os pequeno-almoços são bons, o pão é qualquer coisa do outro mundo! Vale muito a pena, tivemos lá 1 semana, mas ficávamos bem mais!
"
7,"Ligamos com a proprietária e explicamos que procurávamos um sítio calmo para passar doze dias. Explicamos que precisávamos de descansar. Quando chegamos havia obras na casa ao lado o que a proprietária omitiu. Havia muito barulho de máquinas e martelos. Fizemos 200 km em vão. Quando falamos com ela apenas respondeu... Não posso fazer nada!  Lamentável.
"
8,"Local agradável para umas boas férias em família.  As funcionárias são bastante simpáticas, perguntando sempre se tudo estava de acordo as nossas expectativas.  Boas acessibilidades a Moura e a vários supermercados.  Sugiro que seja instalado wi-fi na casa.  Aconselho.
"
9,"Local muito agradável. Fomos muito bem atendidos à nossa chegada e o alojamento era muito bom. Os quartos e a sala bem decorados e com ar condicionado.A cozinha equipada com o essencial. O pequeno almoço muito bom O frigorífico tinha o essencial e todos os dias de manhã era-nos fornecido pão fresco e de boa qualidade. A piscina muito agradável. As funcionárias muito atenciosas, perguntando sempre se estava tudo bem e com tudo muito bem cuidado
"
10,"Adorei tudo! Desde o espaço, decoração, cuidado e limpeza à simpatia com que fomos recebidos. Pequeno almoço perfeito! Local perfeito para descansar, namorar e relaxar. Boa localização. Aconselho vivamente a todos. O Alentejo é maravilhoso!
"
11,"Terra de gente muito simpática e muito atenciosa. Ficamos no estúdio que é um apartamento muito bem decorado e com tudo o que se precisa. Com  acesso direto ao exterior onde se encontrava a piscina ...sitio muito limpo e muito bom para apanhar sol....  Todos os dias pela manhã era deixado o pão para o pequeno almoço muito bom e sempre quentinho. Sitio a voltar sem dúvida.
"
12,"No centro da aldeia de Pedrógão surge este turismo com mobiliário rústico e simples. Uma casa bem aproveitada com quartos com acesso a cozinha comunitária e apartamentos completos. Ficamos no piso inferior que apenas tem 3 quartos e a cozinha.  O nosso quarto era simples mas elegante contudo eram notórios sinais de humidade e tinta a estalar. O wc era grande e tinha banheira que pecava por não ter cortina. O quarto era bastante quente, problema resolvido com o ar condicionado. O pior era o isolamento face ao piso superior. É preciso sorte com os vizinhos. A cozinha era bonita mas apenas tinha uma mesa. Se todos os quartos quisessem tomar o peq. almoço à mesma hora, era complicado.  Faz falta reforçar os talheres. Quase não havia colheres pequenas. O espaço exterior é muito
"
13,"Estupendo! Tranquilo, acolhedor, muito limpo, peq almoço muito bom, Ideal par quem quer fazer um retiro longe da azáfama das grandes cidades! O espaço exxterior é muito agradável, optimo para ficar á conversa depois do antar, a saborear um café. Adoramos!
"
