,Avaliações
0,"Ficamos 3 noites em agosto21 numa mezzanine com bom quarto e cama na parte superior e grande sofá-cama (para 2, à vontade) à entrada do quarto. Quartos simples mas bem equipados. O quarto-de-banho é grande com banheira e poliban (com jatos de hidromassagem) independentes. Como se trata de um Agro-Turismo, foi engraçado tocar um sino à entrada, assim como usar uma chave do quarto com...... um sininho. No exterior, a zona de piscina é acolhedora, com relvado e espreguiçadeiras mas algo pequena. A envolvência é muito bonita. Os pequenos-almoços foram muito bons, com um pouco de tudo e tudo muito bom, o que me surpreendeu. Zonas interiores muito bem decoradas e cheias de pormenores ligados ao trabalho agrícola e tradições alentejanas. O staff é muito acolhedor (muito simpáticas e
"
1,"O que se vê nas fotos não retrata a 100% a realidade pois é muito melhor. Um espaço fantástico para relaxar, descansar o corpo e a mente. O lago que envolve a herdade é a cereja no topo do bolo. Todo o espaço está muito bem cuidado e fomos muito bem recebidos por todos. Um local que fica na memória e que deixará saudades.
"
2,"Foram muito prestáveis a dar informações e até fizeram a reserva do jantar que foi óptimo! A limpeza é imaculada e o pequeno almoço muito bom, com ovos mexidos e até um café expresso sem custo extra ,só é  pena termos que esperar para nos servirem por causa da Pandemia! Foi super tranquilo e a herdade é muito bonita e bem decorada, mas a piscina é um pouco pequena quando estiver mais gente,era uma 6ºf e estava super tranquilo,tem uma vista linda e reconfortante para uma lagoa.Esta fica perto de uma boa praia fluvial,ver foto
"
3,"Deve se ter atenção que está a poucos km do centro da cidade, na estrada do aeródromo. É preciso estar atento à entrada para não despistar-se mas uma vez dentro tem lugar de sobras para estacionar e é um remanso de paz.  Calmo, localizado junto duma albufeirinha linda. Com jardim com piscina que convida a relaxar.  Quarto enorme e cuidado com vista ao jardim. bonito e agradável. Pequeno almoço bom com cuidados redobrados pela pandemia. Funcionários de grande simpatia, a fazer-te sentir em casa.
"
4,"Espetacular, simpatia do staff, pequeno almoço muito bom, espaço acolhedor, quarto amplo e limpo. Para quem deseja um fim de semana de relax, este é o lugar. Só faltou esperimentar a piscina que tem muito bom aspecto. Garantidamente, lugar a voltar. Obrigado ao Staff.
"
5,"Local muito giro! Ficamos numa suite espaçosa e bem decorada. A piscina é agradavel a vista do lago é espetacular! Fomos muito bem recebidos. Só houve um senão que não sendo uma critica é um ponto a melhorar, optamos por uma suite visto sermos 3 adultos (casal mais filha de 16 anos) e não esperavamos uma ""cama extra"" apropriada para crianças mais novas, como cama para um adulto. Tivemos de recorrer à cama king size para dormirmos os 3. A cama dava perfeitamente para 3 adultos dormirem com espaço com o senão de serem dois colchões sem o acessorio de ligação dos colchões. Não sendo a opção ideal acabou por ser a solução possivel para a noite que lá passamos.  No entanto passamos um fim de semana muito agradável e este será um local a visitar numa outra oportunidade.
"
6,"A Herdade está bem cuidada, tem uns ótimos quartos, tudo bem higienizado. A piscina é boa e o espaço envolvente também. Tem uma vista linda para um lago com patos. O pequeno almoço é bom. Todo o Staff são super simpáticos e atenciosos. Na Herdade tem um cão e quando ladra durante a noite é mais chato. Apesar do cão ser super tranquilo. Mas adorámos tudo! Voltaremos e Recomendo!
"
7,"Fiquei apenas uma noite na herdade, mas superou todas as expectativas. O espaço é muito tranquilo rodeado por um lago e com uma piscina e zona de hidromassagem. O quarto é rústico com todas as comodidades e conforto.  O staff foi extremamente simpático e prestável, atendendo a todas as necessidades e oferecendo indicações. Houve um cuidado extra à higienizacao e limpeza do espaço, quer no quarto, quer nos espaços comuns.  O pequeno almoço também estava muito bom e com variedade.  Aconselho esta herdade a quem quer descansar e desfrutar da paz do Alentejo.  A 10min do espaço existe uma praia fluvial muito calma e também muito boa.
"
8,"Tipo rustico e tem todas as comodidades, os quartos sao optimos e muito asseados. tudo funciona correctamente. O Staff é espectacular, muito educado e afável, recomendo vivamente este local para umas férias ou até 1 estadia.
"
9,"O espaço é muito bonito. O serviço é 5 estrelas com os funcionários sempre muito prestáveis. A piscina é muito agradável só peca pela ausência de guardas-sol. Devido ao covid tivemos que fazer o check out as 11h o que não nos deixou margem de manobra para aproveitar mais a piscina. O pequeno almoço é simples mas saboroso e pela primeira vez encontrei um alojamento/hotel com leite sem lactose 💪🏻
"
10,"O quarto grande e wc limpos. O acolhimento foi muito bom. O pequeno almoço foi bom com o essencial. Devido ao facto da Herdade estar vazia foi necessário andar à procura da senhora que estava nesse momento ao serviço para trazer um café.
"
11,"Um bom lugar para se passar uns bons dias de férias com família. Fui com minha esposa e filho pequeno e ficamos bastante agradados com espaço em si bem como todo a envolvente,  funcionários e bem-estar.  Aconselho vivamente a quem quer  descansar una dias e fugir da rotina.
"
12,"Quartos espacosos assim como wc. Eramos varios casais com crianças e tiveram a amabilidade de nos colocar na mesma ala, o que nos permitiu que as crianças circulassem entre os quartos, sala e cozinha, o que foi muito positivo. Zona de piscina agradável junto ao rio. A herdade tem várias infraestruturas, como campo de tenis, paintball, kayak, entre outros. É possivel fazer birdwatching.  Fizemos kayak com as criancas, que estavam encantados com os flamingos e os gansos. O staff é muito simpatico e prestável. O nosso especial agradecimento à D. Zezinha pela disponibilidade e simpatia para com as nossas 9 crianças e à também à  funcionária que fez a reserva (e que já nao trabalha na herdade).
"
13,"Foram 4 dias de estadia excelentes, boa companhia, boas refeições e o mais importante saber receber. foi top O ambiente era tão familiar que surgiram naturalmente convívio com outros casais, dos quais nasceram novas amizades para o resto das nossas vidas
"
