,Hotel,Estrelas,Avaliações,Preço
0,Pousada Convento Beja,"4,5 de 5 bolhas",751 avaliações,100
1,Vila Galé Clube de Campo,"4,5 de 5 bolhas",917 avaliações,99
2,Herdade dos Grous,"4,5 de 5 bolhas",229 avaliações,130
3,Hotel Bejense,4 de 5 bolhas,192 avaliações,63
4,Herdade do Vau,"4,5 de 5 bolhas",76 avaliações,85
5,Herdade Da Diabroria,4 de 5 bolhas,54 avaliações,76
6,Hotel Melius,4 de 5 bolhas,90 avaliações,75
7,BejaParque Hotel,"3,5 de 5 bolhas",159 avaliações,80
8,Hotel São Domingos,4 de 5 bolhas,135 avaliações,55
9,Maria`s Guesthouse,5 de 5 bolhas,7 avaliações,85 81
10,Hotel Santa Bárbara,4 de 5 bolhas,62 avaliações,59
11,Beja Hostel,"3,5 de 5 bolhas",35 avaliações,50
12,Império romano guest house,"4,5 de 5 bolhas",5 avaliações,67
13,Guest House Stories,5 de 5 bolhas,1 avaliação,50
14,Monte Das Beatas - Alojamento Local,5 de 5 bolhas,1 avaliação,50
15,Hospedaria Santa Maria,3 de 5 bolhas,6 avaliações,36
16,Aljana Guest House,"4,5 de 5 bolhas",0 avaliações,99
17,Sesmarias Turismo Rural & SPA,5 de 5 bolhas,113 avaliações,90
18,Monte da Floresta B&B,"3,5 de 5 bolhas",19 avaliações,80 76
19,Casa de Pedrogao,4 de 5 bolhas,28 avaliações,54 51
20,Hotel Santa Clara,5 de 5 bolhas,32 avaliações,58
21,Herdade das Barradas da Serra,5 de 5 bolhas,229 avaliações,125
22,Paradise In Portugal,5 de 5 bolhas,407 avaliações,79
23,Villa Extramuros,5 de 5 bolhas,186 avaliações,
24,Albergaria Do Calvario,5 de 5 bolhas,2 286 avaliações,
