,Restaurant
0,Íntimo restaurante
1,Restaurante Dom Dinis
2,Herdade dos Grous Restaurante
3,Adega Tipica Restaurante
4,Bifanas do Márinho
5,Pulo Do Lobo
6,Toi Farois
7,Restaurante Sabores Do Monte
8,Pizzaria Milano
9,Pizaria e Restaurante Mediterrâneo Dona Maria
10,Frango à Guia
11,Casa de Pasto - Tem Avondo
12,Restaurante Espelho D'Água
13,Hamburgueria da Avenida
14,O Arbitro
15,Adega do Castelo - Museu do Vinho
16,Pinguinhas - Tapas e Petiscos
17,Taberna A Pipa
18,Luiz Da Rocha
19,Restaurante Pousada São Francisco
20,Malhadinha Restaurant Wine & Gourmet
21,A Ilha Do Peixe
22,Sabores do Campo
23,Art Deco
24,Os Bolos da Marisa
25,Restaurante Típico O Arcada
26,A Merenda Snack Bar Restaurante
27,A Pracinha
28,Restaurante Alcoforado
29,Restaurante A Lareira
