,Avaliações
0,"Frequento várias vezes, fico sempre satisfeita a comida é muito boa e acessível a qualquer carteira.
"
1,"Numa passagem por Beja seleccionamos este restaurante para almoçar, do qual podemos dizer que a comida é agradável e tipicamente alentejana, simpatia dos colaboradores e boa relação qualidade / preço.
Comemos cozido de grão e cabidela, ambos estavam óptimos.
"
2,"Espaço com necessidade de renovação. Cadeiras desconfortáveis. Refeição razoável no entanto com demasiado óleo. Preço parece desajustado para a oferta. Perto de 20€ por pessoa pareceu exagerado.
"
3,"Para além da boa comida de salientar a simpatia do pessoal e o facto de ser o único restaurante petfriendly de Beja
"
4,"Estávamos de visita na cidade em um domingo e como era esperado o restaurante estava cheio. Mesmo assim, fomos muito bem atendidos e a comida era deliciosa e feita na hora! Ótimo custo benefício, uma experiência que vale pena!
"
5,"Visita num Domingo.
A casa estava cheia e pelo tempo de espera diria que não existia capacidade se resposta por parte do staff. A rapariga(de cabelos loiros) que servia às mesas foi bastante simpática e fez de tudo para acalmar os clientes que geravam na...
"
6,"sala um ambiente pesado visto ao tempo de demora. Outro empregado parecia pouco empenhado em trabalhar sendo muito lento e pouco dinâmico. Estivemos uma hora à espera pela melhor parte da experiência que foi a refeição que estava bem confeccionada.Para a sobremesa tarte de maçã bastante boa. 
Sugestão de quem vê de fora, mais vale recusar alguns clientes para servir todos os que já têm sentados bem. Para tentar chegar a todos acabam por deixar todos insatisfeitos com o tempo de espera.

No final a conta foi uma boa surpresa.Outra boa surpresa que fica sempre bem foi a rapariga loira pedir desculpa pelo tempo de demora dando uma justificação honesta assumindo a falha.

Voltaremos para experimentar num dia mais calmo.
"
7,"Mais
"
8,"Jantar de amigos, decidimos experimentar um sítio onde ainda não tínhamos ido. Atendimento médio-baixo, o empregado estava a atender-nos e deixou-nos a falar sozinhos porque entraram uns turistas espanhóis e deve ter achado que eles eram mais importantes que nós, sendo que o restaurante estava...
"
9,"vazio e que eles poder-se-iam ter sentado em qualquer lugar.
Confecção dos pratos fraca, com carne nada de especial para o que deveria ser nesta região, o pior é mesmo o preço que se paga igual a um sítio bom.
Têm muito a melhorar no geral, porque até é um restaurante bem localizado mas de facto não acompanha no resto.
"
10,"Restaurante de aspecto normal bem localizado e com facilidade de estacionamento próximo serviço normal bons preços até aqui já seria bom mas secretos e carne da presa para mim não há melhor do que aqui...ficamos clientes .parabens
"
11,"Almoço de Carne Alentejana que estava Top, não me lembrava de almoçar uma carne tão macia quanto esta. Parabéns!!
"
12,"Comida que nos soube bem, numa noite em que o procurávamos fazer já há algum tempo sem sucesso.
A sericá foi um bom fecho.
O serviço foi atencioso e o preço justo
"
13,"Já almocei e jantei várias vezes no Alcoforado, que tem uma localização central em Beja, mesmo em frente do Pax Julia. O serviço pode por vezes ser demorado, quando a casa enche, mas é sempre simpático e eficiente. A comida, baseada principalmente na região do...
"
14,"Restaurante limpo,espaçoso,atendimento muito bom,excelente custo beneficio,pode se pedir uma porçao e meia para duas pessoas.
"
15,"Nao e um local onde iremos procurar a melhor gastronomia, e verdade que não se come mal mas tambem nao é  dos locais mais baratos... na falta de outros locais, é bom, caso haja experimentem.
"
16,"Trataram-nos de uma forma “esquisita”, há muita descoordenação entre os empregados apesar de tudo são simpáticos e a sala de jantar até não é má
"
17,"Localização excelente e com a vantagem de servir até tarde. Foi exactamente por esse motivo que visitamos este restaurante em Maio deste ano. No entanto a qualidade da refeição deixou muito a desejar...Uma das pessoas do grupo pediu uns secretos de porco preto e como...
"
18,"Bom para comer sem gastar muito, a decoração e um bocado antiga, ao entrar sentimos um forte cheiro a desinfetante o que por um lado e bom pois foi limpo, mas não e muito agradável comer com aquele cheiro, pois faz lembrar o WC.
"
19,"Fraquinho. Um espaço com potencial, mas com uma confecção fraca. Funcionárias jovens e simpáticas. Boas sobremesas. Agora servir carne de porco à alentejana com ameijoas vietnamitas????
A tradução da ementa estava péssima.
"
20,"É daqueles restaurante que não é de registo, mas como é dos poucos abertos ao Domingo em Beja... aqui vai;
Teve muito bom e teve mau. Os Jaquinzinhos fritos com arroz de tomate, não sendo pequeninos, vinham excelentes, crocantes, muito saborosos. O arroz estava irrepressível...
"
