,Avaliações
0,"Pesquisa por nome, cozinha ou prato...
"
1,"This page works better in the app
"
2,"Ver Galeria
"
3,"Todas as opiniões (1)
"
4,"Mais recente primeiro
"
5,"Yara Alexandra
"
6,"Há 4 meses
"
7,"Péssimo atendimento, o homem que parecia o gerente não era nem um pouco simpático e nenhum dos funcionários estava devidamente fardado. O pior de tudo foi a refeição, o hambúrguer de vaca parecia palha de tão seco que estava, sem qualquer molho. No pagamento o valor é mostrado numa espécie de tablet e nem a fatura é emitida. Não recomendo e não voltarei 
"
8,"0 Votes for helpful, 0 Comentários
"
9,"Who We Are
"
10,"Blog
"
11,"Carreiras
"
12,"Reportar uma Fraude
"
13,"Contacto
"
14,"Investor Relations
"
15,"Código de conduta
"
16,"Comunidade
"
17,"Ajuda para bloggers
"
18,"Apps móveis
"
19,"Zomato for Work
"
20,"Privacidade
"
21,"Termos
"
22,"Segurança
"
23,"Mapa do site
"
24,"Social
"
25,"By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2021 © Zomato™ Ltd. All rights reserved.
"
